Date,Hour,Line,Flow
2025-11-05,0,L1109_1111,-277.0317
2025-11-05,0,L826_827,254.295
2025-11-05,0,L1617_2124,-621.3863
2025-11-05,0,L32_41,35.5853
2025-11-05,0,L1625_1919,27.9955
2025-11-05,0,L1622_3102,-441.2761
2025-11-05,0,L2421_3054,90.45
2025-11-05,0,L1922_2903,-660.6761
2025-11-05,0,L1487_1490,580.4054
2025-11-05,0,L3037_3061,1000.0
2025-11-05,0,L2088_3124,568.9755
2025-11-05,0,L3073_3087,237.2531
2025-11-05,0,L2173_2389,-890.5283
2025-11-05,0,L710_2392,-113.1377
2025-11-05,0,L1519_1682,0.0
2025-11-05,0,L1606_1612,144.3111
2025-11-05,0,L2032_3046,-31.9829
2025-11-05,0,L838_2440,-688.7659
2025-11-05,0,L3131_3143,251.4065
2025-11-05,0,L3131_3132,0.0
2025-11-05,0,L820_821,-90.0
2025-11-05,0,L3075_3076,85.5145
2025-11-05,0,L1565_2966,239.9689
2025-11-05,0,L812_813,-184.14
2025-11-05,0,L1518_1691,-129.0194
2025-11-05,0,L0_1976,-320.1421
2025-11-05,0,L1588_1599,-155.0214
2025-11-05,0,L99_1752,1092.6449
2025-11-05,0,L804_1650,325.1234
2025-11-05,0,L2050_3059,487.0687
2025-11-05,0,L852_2447,-106.92
2025-11-05,0,L1488_2112,-36.485
2025-11-05,0,L1590_1622,-324.7048
2025-11-05,0,L3042_3043,568.1554
2025-11-05,0,L0_3078,-1000.0
2025-11-05,0,L794_2208,706.71
2025-11-05,0,L1531_1540,-27.579
2025-11-05,0,L1910_3051,17.8002
2025-11-05,0,L1638_2380,102.1376
2025-11-05,0,L1645_1649,0.0
2025-11-05,0,L1684_1687,72.9
2025-11-05,0,L795_1546,500.0403
2025-11-05,0,L1486_3053,308.88
2025-11-05,0,L580_1645,672.5088
2025-11-05,0,L2995_3104,353.8187
2025-11-05,0,L3096_3097,105.7699
2025-11-05,0,L1664_3042,-179.0923
2025-11-05,0,L1937_2317,-544.4869
2025-11-05,0,L1700_1822,455.7429
2025-11-05,0,L129_818,353.249
2025-11-05,0,L1543_3058,487.0687
2025-11-05,0,L2362_2382,-582.0021
2025-11-05,0,L0_3108,1320.1421
2025-11-05,0,L1968_2963,261.8599
2025-11-05,0,L536_999,0.0
2025-11-05,0,L346_3053,90.9
2025-11-05,0,L1893_3040,585.9573
2025-11-05,0,L2054_2423,0.0
2025-11-05,0,L1603_2409,-470.8911
2025-11-05,0,L1593_1597,0.0
2025-11-05,0,L3061_3069,591.0699
2025-11-05,0,L1549_3083,586.6407
2025-11-05,0,L3129_3139,569.8198
2025-11-05,0,L1492_3052,69.6002
2025-11-05,0,L840_1578,-0.0
2025-11-05,0,L1560_2357,-520.599
2025-11-05,0,L2311_2437,0.0
2025-11-05,0,L2409_3134,-0.0
2025-11-05,0,L2230_2314,-334.53
2025-11-05,0,L793_924,-251.4065
2025-11-05,0,L577_820,-254.9853
2025-11-05,0,L3077_3081,220.3238
2025-11-05,0,L1719_1937,-388.919
2025-11-05,0,L1581_1582,0.0
2025-11-05,0,L1617_3104,91.1832
