Date,Hour,Type,Solve Time
2025-11-05,0,SCED,3.5586
2025-11-05,1,SCED,2.7841
2025-11-05,2,SCED,4.4104
2025-11-05,3,SCED,2.4
2025-11-05,4,SCED,2.3207
2025-11-05,5,SCED,4.2524
2025-11-05,6,SCED,2.3083
2025-11-05,7,SCED,2.3608
2025-11-05,8,SCED,2.1986
2025-11-05,9,SCED,2.3272
2025-11-05,10,SCED,6.1921
2025-11-05,11,SCED,3.9225
2025-11-05,12,SCED,4.4727
2025-11-05,13,SCED,2.2593
2025-11-05,14,SCED,2.2891
2025-11-05,15,SCED,2.3489
2025-11-05,16,SCED,2.2606
2025-11-05,17,SCED,4.092
2025-11-05,18,SCED,2.2985
2025-11-05,19,SCED,2.2354
2025-11-05,20,SCED,2.2947
2025-11-05,21,SCED,2.2898
2025-11-05,22,SCED,2.2888
2025-11-05,23,SCED,2.2665
