Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-01-08,0,364303.19,474919.4674,814.7223,0.0,11104.4075,0.0,10705.9152,30761.5563,20055.6411,41213.4463,20.3628,273,0.0,15237.4525
2024-01-08,1,362631.47,442484.5648,776.8496,0.0,12155.9761,0.0,11468.123,30417.0137,18948.8907,40432.5363,19.9126,2,0.0,5411.8285
2024-01-08,2,362010.69,429558.9288,755.6603,0.0,12254.9972,0.0,11141.4461,30477.8154,19336.3693,40105.73,19.7371,8,0.0,2156.5584
2024-01-08,3,350284.47,429465.6593,756.7634,126.9412,11232.0764,0.0,10870.8466,30307.5711,19436.7245,40248.101,19.3736,9,20.44,2725.8618
2024-01-08,4,390620.09,436294.1825,797.2268,158.2575,11312.6313,0.0,9962.2054,30153.5391,20191.3337,40915.8153,20.2101,28,1275.0599999999997,6115.0961
2024-01-08,5,351431.05,516664.7623,1119.6809,0.0,8138.9874,0.0,10308.3686,30096.7968,19788.4282,42892.6036,20.2388,27,426.87000000000006,4513.106
2024-01-08,6,355116.55,555148.5359,1819.1745,0.0,7896.672,0.0,10969.3137,30190.0216,19220.7079,45638.2034,19.9452,1,105.3,2828.5862
2024-01-08,7,358421.11,574053.326,2148.8877,0.0,7612.2372,0.0,11366.6395,30408.9064,19042.2669,47026.3255,19.8288,2,118.02,1031.0691
2024-01-08,8,354057.31,579096.8744,2180.3152,0.0,7377.9529,0.0,11203.5309,30313.1115,19109.5806,47220.2259,19.7617,2,0.0,2719.078
2024-01-08,9,351054.31,578881.7293,2074.9365,0.0,7101.0943,0.0,11601.3696,31389.0282,19787.6586,47385.5955,19.6249,2,12.9,2021.6384
2024-01-08,10,353155.39,579365.6078,1920.2419,0.0,6907.6288,0.0,12024.0895,33867.2633,21843.1738,47559.9117,19.6073,13,310.3499999999999,2504.7114
2024-01-08,11,346536.19,576834.0947,1943.3677,0.0,7361.2076,0.0,12727.3996,35101.5214,22374.1218,47884.9178,19.2831,4,0.0,1232.8369
2024-01-08,12,340473.31,558728.396,1845.2749,0.0,7385.4158,0.0,13428.0937,36470.2046,23042.1109,47847.7835,18.793,3,0.0,3726.9272
2024-01-08,13,341519.11,558762.1231,1731.2147,0.0,7331.2755,0.0,13137.9724,35493.2402,22355.2678,47491.61,18.9566,2,55.5,2286.2245
2024-01-08,14,341519.11,560045.9264,1632.6049,0.0,7343.7176,0.0,12755.9381,35078.7814,22322.8433,47129.5102,19.1295,0,0.0,2067.4754
2024-01-08,15,339901.03,536552.3499,1588.1765,0.0,8088.3725,0.0,13703.9302,35037.5712,21333.641,47098.1806,18.6091,3,1.44,3311.7676
2024-01-08,16,347453.47,505245.463,1685.6272,0.0,9031.1777,0.0,14714.3486,34996.3974,20282.0488,47432.6493,17.977,4,252.6,2233.685
2024-01-08,17,386414.35,519480.9908,2144.7417,0.0,9075.6374,0.0,13634.5166,32669.9477,19035.4311,48622.4967,18.6312,26,1393.45,2800.5542
2024-01-08,18,385447.03,607396.3002,2668.4162,0.0,8223.2437,0.0,11453.786,30904.4929,19450.7069,50060.5329,19.8329,16,504.65,6098.0814
2024-01-08,19,379902.99,630443.3485,2695.8284,0.0,7686.4965,0.0,10659.5017,30365.8061,19706.3044,49945.105,20.2291,15,177.65,3845.84
2024-01-08,20,381412.51,624491.5841,2707.3849,0.0,7617.8879,0.0,10390.4814,30382.0198,19991.5384,49893.1583,20.1612,11,284.2800000000001,3159.9977
2024-01-08,21,367424.31,624572.9135,2570.8766,0.0,6683.4045,0.0,10354.4953,29828.6943,19474.199,49087.2874,20.2088,15,273.62,4699.7199
2024-01-08,22,360626.93,595182.2462,2245.1838,0.0,7357.0706,0.0,10541.5417,29549.5776,19008.0359,47631.0849,20.0669,14,177.82999999999998,3193.7616
2024-01-08,23,353626.71,574383.2952,2009.1846,0.0,6691.3083,0.0,10269.1655,30153.5391,19884.3736,46443.6418,19.9814,18,309.5,2863.422
