Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2024-06-17,0,417677.45,679328.8426,4250.4508,22.4513,10787.4275,0.0,14020.6882,29910.3329,15889.6447,56439.2034,19.437,209,0.0,21200.5925
2024-06-17,1,384719.53,698043.2744,3347.9598,0.0,7168.6223,0.0,13402.5267,29075.3272,15672.8005,53893.9679,20.0906,35,109.67,3751.6785
2024-06-17,2,382818.07,720152.0091,2808.244,0.0,7082.5101,0.0,11656.31,28126.8188,16470.5088,52195.911,21.1314,10,12.1,2961.692
2024-06-17,3,379724.2,710146.0363,2507.5591,0.0,7122.1506,0.0,11152.5775,27372.8813,16220.3038,51126.4088,21.3172,5,6.05,1466.2258
2024-06-17,4,384879.7,699507.173,2488.7122,0.0,7498.237,0.0,11120.9779,26274.3976,15153.4197,50936.637,21.2889,7,160.74,1756.1982
2024-06-17,5,389297.26,708903.0113,2783.6956,0.0,7549.9108,0.0,11263.4736,26100.101,14836.6274,51671.7738,21.2534,5,198.0,1806.9005
2024-06-17,6,384481.75,721742.4898,3133.4289,0.0,7066.4252,0.0,11480.6713,26075.78,14595.1087,52599.0282,21.0313,13,38.89,2481.4228
2024-06-17,7,392432.07,699356.9842,3729.9775,0.0,7773.0479,0.0,12084.4261,26370.6328,14286.2067,54126.8164,20.1709,11,285.03999999999996,3845.8131
2024-06-17,8,397702.27,649568.3851,4360.524,0.0,9692.1621,0.0,15653.2185,33041.9376,17388.7191,56928.6347,18.3962,16,314.6,5225.9783
2024-06-17,9,375942.85,594811.6966,5456.0071,0.0,8526.4068,0.0,19717.5238,41954.7545,22237.2307,60086.4122,16.156,40,765.4399999999999,4216.6096
2024-06-17,10,364870.34,630232.0098,7061.3733,0.0,7193.5723,0.0,21050.8025,45196.0857,24145.2832,63734.0999,15.6133,31,156.52999999999997,4994.992
2024-06-17,11,386729.61,660463.5234,8520.3811,0.0,6640.0328,0.0,20799.3258,48087.9943,27288.6685,66966.3805,15.6376,20,819.6800000000001,5281.8169
2024-06-17,12,385969.56,697238.4257,9736.8784,0.0,6523.372,0.0,20657.0947,49578.5664,28921.4717,69571.4511,15.5697,19,246.95000000000002,3518.6657
2024-06-17,13,396064.88,728644.6743,10877.6999,0.0,5474.8781,0.0,20651.4607,49490.946,28839.4853,71970.9532,15.6273,29,620.8800000000002,4209.584
2024-06-17,14,395288.05,742801.4003,11957.9848,0.0,6582.9302,0.0,21348.2576,52220.3958,30872.1382,74109.5037,15.3569,7,78.23,3992.3574
2024-06-17,15,400149.73,734060.0456,12103.959,0.0,6333.7679,0.0,21578.5428,54244.5965,32666.0537,74368.2046,15.2513,12,466.5400000000001,2315.7695
2024-06-17,16,400591.57,741892.6661,12114.0098,0.0,6950.6154,0.0,21350.7944,52292.198,30941.4036,74392.3837,15.3575,2,69.6,2191.6882
2024-06-17,17,403424.47,731239.5271,12056.2628,0.0,7547.5809,0.0,21730.0891,53008.4614,31278.3723,74327.7768,15.2657,6,86.05,2157.161
2024-06-17,18,409301.11,729650.1939,11555.3066,0.0,7651.6411,0.0,21094.8744,50365.6604,29270.786,73506.4037,15.4946,7,308.88,2641.8509
2024-06-17,19,405033.35,711628.3305,10526.3698,0.0,7245.264,0.0,21069.3591,46758.5874,25689.2283,71693.9981,15.5754,28,400.97999999999996,3069.3822
2024-06-17,20,429155.01,715328.4337,9543.0425,0.0,7585.4948,0.0,18369.7863,39669.3918,21299.6055,69027.974,16.58,30,977.04,3737.0234
2024-06-17,21,430125.99,761269.9407,9132.9647,0.0,8033.1101,0.0,15419.6295,32678.2194,17258.5899,67190.4541,17.7316,21,227.07000000000005,4101.022
2024-06-17,22,428308.88,738375.321,7563.1804,0.0,8857.9215,0.0,14555.1815,32046.212,17491.0305,63812.6704,18.283,22,272.43,3991.5659
2024-06-17,23,406767.14,694839.5976,5788.4765,0.0,8862.39,0.0,14344.643,31811.3976,17466.7546,59812.7787,18.4176,24,111.0,3890.6174
