Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,368661.29,686998.5495,4837.3766,0.0,5356.4249,0.0,8919.4489,20124.675,11205.2261,50894.0015,20.7423,250,0.0,22404.3851
2025-11-05,1,366519.29,689140.5495,4837.3766,0.0,5101.4249,0.0,8919.4489,20124.675,11205.2261,50894.0015,20.7423,1,0.0,1291.3547
2025-11-05,2,357207.29,689224.0025,4838.0873,0.0,4460.2139,0.0,9126.7224,20124.675,10997.9526,50894.0015,20.561,2,116.46,2279.3989
2025-11-05,3,355555.01,669621.9086,4841.0516,0.0,4877.3835,0.0,9764.4882,20124.675,10360.1868,50894.0015,20.1434,1,0.0,2511.703
2025-11-05,4,357865.01,688416.1144,4840.3127,0.0,4380.9026,0.0,8739.9235,20124.675,11384.7515,50894.0015,20.558,1,82.5,2100.2038
2025-11-05,5,364497.65,675553.448,4841.7113,0.0,5040.7669,0.0,8776.9452,20124.675,11347.7298,50894.0015,20.4356,5,236.88000000000002,1952.0128
2025-11-05,6,364497.65,675553.448,4841.7113,0.0,5593.4869,0.0,8776.9452,20124.675,11347.7298,50894.0015,20.4356,0,0.0,1550.6122
2025-11-05,7,368569.13,671481.968,4841.7113,0.0,5709.4969,0.0,8776.9452,20124.675,11347.7298,50894.0015,20.4356,3,158.01,1438.8278
2025-11-05,8,365822.33,670010.6902,4842.3316,69.9707,5617.7147,0.0,8708.65,20124.675,11416.025,50894.0015,20.3528,4,111.0,795.7268
2025-11-05,9,370197.29,667085.0176,4842.16,0.0,5712.6122,0.0,8428.5338,20124.675,11696.1412,50894.0015,20.3812,2,293.64,1502.1216
2025-11-05,10,371751.29,666078.1384,4842.16,19.54,6189.0322,0.0,8428.5338,20124.675,11696.1412,50894.0015,20.392,1,55.5,1275.2681
2025-11-05,11,368248.49,668295.4541,4842.3246,32.1402,5929.8396,0.0,8498.6904,20124.675,11625.9846,50894.0015,20.3667,3,12.6,1270.2367
2025-11-05,12,370558.49,664848.7724,4842.5636,32.1404,6096.2203,0.0,8552.9017,20124.675,11571.7733,50894.0015,20.3444,1,82.5,242.0427
2025-11-05,13,368862.53,665644.8009,4842.5636,0.0,5871.7907,0.0,8552.9017,20124.675,11571.7733,50894.0015,20.3267,4,105.93,549.2921
2025-11-05,14,364767.53,669739.8009,4842.5636,0.0,5636.1607,0.0,8552.9017,20124.675,11571.7733,50894.0015,20.3267,3,0.0,1520.109
2025-11-05,15,367069.13,667438.2009,4842.5636,0.0,5588.8607,0.0,8552.9017,20124.675,11571.7733,50894.0015,20.3267,3,137.7,1375.9561
2025-11-05,16,364759.13,672523.1776,4842.16,0.0,5510.3722,0.0,8428.5338,20124.675,11696.1412,50894.0015,20.3812,1,0.0,1962.2363
2025-11-05,17,362608.73,674673.5776,4842.16,0.0,5254.3722,0.0,8428.5338,20124.675,11696.1412,50894.0015,20.3812,1,0.0,980.7517
2025-11-05,18,362806.13,671908.1347,4842.6647,0.0,5340.6132,0.0,8362.5278,20124.675,11762.1472,50894.0015,20.3308,1,5.64,715.4069
2025-11-05,19,367468.13,665698.5278,4843.2435,0.0,5582.7546,0.0,8211.8126,20124.675,11912.8624,50894.0015,20.3004,3,166.5,1414.0907
2025-11-05,20,369022.13,664144.5278,4843.2435,0.0,6026.7546,0.0,8211.8126,20124.675,11912.8624,50894.0015,20.3004,1,55.5,372.5163
2025-11-05,21,375296.93,658395.6302,4843.3093,0.0,6367.6506,0.0,8199.0428,20124.675,11925.6322,50894.0015,20.3107,3,224.1,1037.1841
2025-11-05,22,372330.89,661361.6702,4843.3093,0.0,6537.4506,0.0,8199.0428,20124.675,11925.6322,50894.0015,20.3107,1,0.0,969.5089
2025-11-05,23,367642.89,665250.2526,4843.2929,0.0,5266.1504,0.0,8210.559,20124.675,11914.116,50894.0015,20.295,9,400.80000000000007,923.8373
