Date,Hour,Type,Solve Time
2024-01-08,0,SCED,1.8691
2024-01-08,1,SCED,1.6092
2024-01-08,2,SCED,1.6235
2024-01-08,3,SCED,1.6066
2024-01-08,4,SCED,1.617
2024-01-08,5,SCED,1.7819
2024-01-08,6,SCED,2.6981
2024-01-08,7,SCED,1.6788
2024-01-08,8,SCED,2.1389
2024-01-08,9,SCED,1.46
2024-01-08,10,SCED,2.0404
2024-01-08,11,SCED,1.4131
2024-01-08,12,SCED,2.1528
2024-01-08,13,SCED,2.1416
2024-01-08,14,SCED,1.9862
2024-01-08,15,SCED,1.4266
2024-01-08,16,SCED,1.896
2024-01-08,17,SCED,1.4017
2024-01-08,18,SCED,2.8056
2024-01-08,19,SCED,1.5604
2024-01-08,20,SCED,1.5758
2024-01-08,21,SCED,1.4546
2024-01-08,22,SCED,1.4254
2024-01-08,23,SCED,1.8113
