,,,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Commit,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve,Reserve
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,Hour,Generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-05,0,CPSES_UNIT1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1254.4493,1252.4286,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5507,16.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,0,CPSES_UNIT2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1253.5296,1254.4493,1269.0,1269.0,1251.5625,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1232.5507,1269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4704,14.5507,0.0,0.0,17.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4493,0.0
2025-11-05,0,STP_STP_G1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,0,STP_STP_G2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,0,COLETO_COLETOG1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,316.3507,316.3507,318.861,297.3305,297.3305,297.3305,325.0693,321.1099,315.1401,291.6429,291.6625,291.6625,304.2546,309.6511,322.8628,332.8749,333.4737,330.1704,310.2526,310.2526,319.6642,262.0,381.5294,357.7773,338.6493,338.6493,336.139,357.6695,357.6695,357.6695,329.9307,333.8901,339.8599,363.3571,363.3375,363.3375,350.7454,345.3489,332.1372,322.1251,321.5263,324.8296,344.7474,344.7474,335.3358,393.0,273.4706,297.2227
2025-11-05,0,FPPYD1_FPP_G1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,246.0,246.0,246.0,246.0,246.0,246.0,462.0212,246.0,494.2465,461.4749,459.7524,246.0,490.3532,246.0,246.0,246.0,246.0,247.8264,246.0,448.3952,465.1137,615.0,246.0,0.0,369.0,369.0,369.0,369.0,369.0,369.0,152.9788,369.0,120.7535,153.5251,155.2476,369.0,124.6468,369.0,369.0,369.0,369.0,367.1736,369.0,166.6048,149.8863,0.0,0.0,0.0
2025-11-05,0,FPPYD1_FPP_G2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,256.2271,256.2271,246.0,246.0,246.0,246.0,246.0,457.0234,246.0,246.0,246.0,459.7524,246.0,503.4678,477.4568,291.9164,284.9319,246.0,448.3952,246.0,246.0,396.0692,615.0,615.0,358.7729,358.7729,369.0,369.0,369.0,369.0,369.0,157.9766,369.0,369.0,369.0,155.2476,369.0,111.5322,137.5432,323.0836,330.0681,369.0,166.6048,369.0,369.0,218.9308,0.0,0.0
2025-11-05,0,FPPYD2_FPP_G3,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,184.0,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,276.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
