osm_id,voltage_kv,voltage_tier,cables,circuits,operator,name,num_nodes,length_km
10686344,115.0,115-229 kV,,,,,169,29.33
10689425,230.0,230-344 kV,3,,,East Towanda - Canyon,102,19.74
10705097,115.0,115-229 kV,3,1,Pennsylvania Electric Company,Gold to Hector,39,8.07
10718939,115.0,115-229 kV,,,,,52,10.54
11151284,115.0,115-229 kV,3,,Mid-Atlantic Interstate Transmission,Erie South - Piney,29,21.3
11645005,115.0,115-229 kV,,,,,58,10.55
11645304,115.0,115-229 kV,,,,Piney-Seward,19,10.95
11646124,115.0,115-229 kV,3,1,Penelec,Shelocta to Blairsville East,98,23.59
11651315,115.0,115-229 kV,6,2,,Piney-Seward,85,33.57
11651522,115.0,115-229 kV,,,,Piney-Seward,23,18.97
11726002,115.0,115-229 kV,,,,Golory Power Line,23,10.48
11814111,115.0,115-229 kV,3,1,Pennsylvania Electric Company,South Troy to East Towanda,173,31.62
11829545,115.0,115-229 kV,,,,,47,12.24
11832594,115.0,115-229 kV,,,,,21,1.94
11842221,115.0,115-229 kV,3,,,,30,6.78
11842390,138.0,115-229 kV,3,,,,48,16.91
11842768,138.0,115-229 kV,3,,,,49,16.7
11843378,138.0,115-229 kV,3,,,,123,23.74
11843676,138.0,115-229 kV,,,,,99,29.5
11843823,115.0,115-229 kV,3,,,,81,39.52
11850522,115.0,115-229 kV,3,,,,112,32.56
11855167,115.0,115-229 kV,3,,,,144,27.75
11859620,115.0,115-229 kV,3,,,,42,9.25
11865723,115.0,115-229 kV,,,,,157,32.68
11867564,115.0,115-229 kV,,,,,76,18.28
11878439,138.0,115-229 kV,,,,,157,68.19
11879690,115.0,115-229 kV,,,,,6,1.62
11907697,138.0,115-229 kV,3,,,,58,46.11
11914284,500.0,500+ kV,3,,PPL,Juniata Sub PPL to Conemaugh Sub PPL 500KV,471,196.22
11971233,230.0,230-344 kV,3,,Penelec,Lewis Run - Pierce Brook,25,3.5
11973925,115.0,115-229 kV,3,1,Pennsylvania Electric Company,Pierce Brook to Two Mile Run,46,8.88
11984639,230.0,230-344 kV,6,2,PPL,,65,16.67
12013742,115.0,115-229 kV,3,1,West Penn Power,Tri-County Tennessee Gas Tap to Gold,32,5.97
12019926,115.0,115-229 kV,3,,,,32,7.22
12020399,115.0,115-229 kV,3,,,,41,9.57
12020459,500.0,500+ kV,3,,,Conemaugh - Keystone,102,41.57
12021886,115.0,115-229 kV,,,,,37,6.65
12023201,115.0,115-229 kV,3,1,Penelec,,30,6.89
12023958,138.0,115-229 kV,,,,,7,1.26
12024882,500.0,500+ kV,3,,FirstEnergy,Keystone Sub AP to Cabot Sub AP 500KV,127,43.92
12025001,138.0,115-229 kV,,,,,53,12.72
12026295,115.0,115-229 kV,,,,,14,2.09
12030094,138.0,115-229 kV,3,,,,37,16.58
12030276,115.0,115-229 kV,,,,,66,14.04
12032657,138.0,115-229 kV,3,,,,55,20.58
12038920,115.0,115-229 kV,3,1,Pennsylvania Electric Company,Mansfield to Mainesburg,45,7.97
12038964,115.0,115-229 kV,3,1,Pennsylvania Electric Company,Mansfield to Tower Hill,80,16.31
12039566,138.0,115-229 kV,6,2,FirstEnergy,,30,5.08
12041464,115.0,115-229 kV,3,1,Pennsylvania Electric Company,Sabinsville to Niles Valley,51,9.05
12041790,115.0,115-229 kV,3,1,Pennsylvania Electric Company,Hector to Sabinsville,32,6.44
12042712,230.0,230-344 kV,3,,Penelec,Moshannon - Chapman - Lobo,333,65.78
12055194,115.0,115-229 kV,3,1,Penelec,Corry East to Warren,88,34.69
12113717,230.0,230-344 kV,3,,,Shawville - Shingletown,188,56.72
12271414,115.0,115-229 kV,3,,,,107,23.38
12271449,115.0,115-229 kV,6,2,,,143,16.28
12272513,115.0,115-229 kV,6,,,,181,31.19
12276262,230.0,230-344 kV,3,,Niagara Mohawk,,210,37.67
12720516,115.0,115-229 kV,3,,,,374,81.04
12720519,115.0,115-229 kV,3,,,,46,14.47
12755672,345.0,345-499 kV,3,,,Oakdale - Fraser,426,90.78
13008447,115.0,115-229 kV,,,,,21,4.8
13009137,115.0,115-229 kV,6,,,,36,15.09
13009350,115.0,115-229 kV,6,,,,71,17.76
13009680,230.0,230-344 kV,3,,,Hillside - East Towanda,260,53.66
13012529,115.0,115-229 kV,6,,,,113,30.98
13048205,115.0,115-229 kV,3,,,,158,35.37
13049311,115.0,115-229 kV,3,,,,112,24.27
13049846,115.0,115-229 kV,3,,,,88,17.17
13051948,115.0,115-229 kV,3,,,,48,8.5
13052430,115.0,115-229 kV,,,,,71,13.19
13053287,115.0,115-229 kV,3,,,,58,11.52
13061314,115.0,115-229 kV,3,,,,73,20.52
13066168,115.0,115-229 kV,3,,,,72,14.01
13069390,115.0,115-229 kV,3,,,,199,36.96
14232946,115.0,115-229 kV,6,2,,,28,5.78
19340594,115.0,115-229 kV,6,,Mid-Atlantic Interstate Transmission,Erie South - Piney,100,46.95
20021888,115.0,115-229 kV,3,,,,249,43.69
20034204,115.0,115-229 kV,6,,,,61,18.51
20035921,115.0,115-229 kV,6,2,,,66,11.07
20036718,115.0,115-229 kV,6,2,,,67,11.69
20036726,115.0,115-229 kV,3,,,,85,23.91
20037083,115.0,115-229 kV,,,,,37,7.96
20037097,115.0,115-229 kV,6,,,,96,24.32
20042043,115.0,115-229 kV,3,,,,154,35.2
20042402,230.0,230-344 kV,3,1,National Grid,South Ripley to Dunkirk,247,48.46
20042691,115.0,115-229 kV,,,,,132,22.12
20044707,115.0,115-229 kV,6,2,National Grid,,140,22.45
20052009,115.0,115-229 kV,6,,,,56,10.29
20055339,115.0,115-229 kV,3,,,,176,40.71
20069144,115.0,115-229 kV,3,,National Grid,,360,54.64
20069348,115.0,115-229 kV,3,,,,115,23.71
20104620,115.0,115-229 kV,3,,,,83,22.89
20121352,115.0,115-229 kV,3,,,,193,37.4
20164122,115.0,115-229 kV,3,,,,105,33.24
20164447,115.0,115-229 kV,3,,,,243,42.85
20181933,115.0,115-229 kV,3,,,,102,21.59
20642738,115.0,115-229 kV,3,,,,87,18.36
20648456,115.0,115-229 kV,3,,,,28,5.23
32612639,500.0,500+ kV,3,,PPL,Susquehanna Sub PPL 500KV,5,0.44
90338510,500.0,500+ kV,3,,FirstEnergy,South Bend Sub AP to Yukon Sub AP 500KV,162,60.13
95421702,500.0,500+ kV,3,,PPL,Juniata Sub PPL to Alburtis Sub PPL 500KV,386,141.6
98856456,138.0,115-229 kV,6,2,Allegheny Power Systems,,13,4.0
98856464,138.0,115-229 kV,6,2,Allegheny Power Systems,,8,2.47
98939044,138.0,115-229 kV,9,3,Allegheny Power Systems,,31,6.57
98939049,138.0,115-229 kV,9,3,FirstEnergy,,30,5.74
98966958,115.0,115-229 kV,6,,,,60,14.95
102141093,138.0,115-229 kV,6,2,FirstEnergy,,58,10.55
102149207,138.0,115-229 kV,6,2,Allegheny Power Systems,,14,2.52
102156672,500.0,500+ kV,3,,FirstEnergy,South Bend Sub AP 500KV,3,0.42
102224362,138.0,115-229 kV,3,,,,46,9.17
102605932,115.0,115-229 kV,6,2,,,4,0.4
102606020,115.0,115-229 kV,6,2,,,61,9.12
102621705,115.0,115-229 kV,6,2,,,51,6.33
114003471,345.0,345-499 kV,3,,,Homer City - Mainesburg 345kV,979,244.68
114037162,115.0,115-229 kV,3,,,,2,0.06
114037181,115.0,115-229 kV,3,,,,2,0.07
117322711,230.0,230-344 kV,6,2,PPL,Glen Brook & Susquehanna T21 - Susquehanna Junction,4,0.57
117322714,500.0,500+ kV,3,,PPL,Shickshinny Sub PPL to Lackawanna Sub PPL 500KV,147,46.08
117384812,230.0,230-344 kV,3,,PPL,Susquehanna 500 kV Sub - Susquehanna Junction,4,0.43
117384820,230.0,230-344 kV,3,,PPL,Susquehanna T10 - Susquehanna T21,12,1.39
117588017,230.0,230-344 kV,6,2,PPL,Susquehanna Junction - Palooka,86,27.87
117588020,230.0,230-344 kV,6,2,PPL,Mountain - Jenkins & Stanton,65,15.38
117594201,230.0,230-344 kV,6,2,PPL,Jenkins - Mountain & Stanton,34,9.06
144818299,230.0,230-344 kV,3,,,Grover - Scotch Hollow,194,35.0
144818455,115.0,115-229 kV,,,,,2,0.03
144818479,115.0,115-229 kV,3,1,Penelec,N Meshoppen to Lenox,149,28.3
144818485,115.0,115-229 kV,3,1,Pennsylvania Electric Company,Mainesburg to Everts Drive,74,14.23
144818577,115.0,115-229 kV,3,,,,4,0.19
144818580,115.0,115-229 kV,3,,,,3,0.11
144818598,115.0,115-229 kV,,,,,30,5.77
144818663,115.0,115-229 kV,,,,,54,10.53
144952178,115.0,115-229 kV,3,1,Penelec,East Towanda to East Sayre,143,30.22
144952238,115.0,115-229 kV,9,3,Pennsylvania Electric Company,South Troy to Tennessee Gas Pipeline,40,3.38
144952248,115.0,115-229 kV,6,2,Pennsylvania Electric Company,South Troy to Tennessee Gas Pipeline,4,0.28
146645875,230.0,230-344 kV,3,,,,74,15.76
