storage_uid,plant_code,generator_id,lat,lon,nameplate_mw,summer_mw,pmax_mw,prime_mover,unit_type,technology
BESS_2691_1,2691,1,42.4423,-74.4479,250.0,290.7,290.7,PS,PS,Hydroelectric Pumped Storage
BESS_2691_2,2691,2,42.4423,-74.4479,250.0,291.2,291.2,PS,PS,Hydroelectric Pumped Storage
BESS_2691_3,2691,3,42.4423,-74.4479,250.0,291.7,291.7,PS,PS,Hydroelectric Pumped Storage
BESS_2691_4,2691,4,42.4423,-74.4479,250.0,291.5,291.5,PS,PS,Hydroelectric Pumped Storage
BESS_2692_1,2692,1,43.142973,-79.021958,20.0,20.0,20.0,PS,PS,Hydroelectric Pumped Storage
BESS_2692_10,2692,10,43.142973,-79.021958,20.0,20.0,20.0,PS,PS,Hydroelectric Pumped Storage
BESS_2692_11,2692,11,43.142973,-79.021958,20.0,20.0,20.0,PS,PS,Hydroelectric Pumped Storage
BESS_2692_12,2692,12,43.142973,-79.021958,20.0,20.0,20.0,PS,PS,Hydroelectric Pumped Storage
BESS_2692_2,2692,2,43.142973,-79.021958,20.0,20.0,20.0,PS,PS,Hydroelectric Pumped Storage
BESS_2692_3,2692,3,43.142973,-79.021958,20.0,20.0,20.0,PS,PS,Hydroelectric Pumped Storage
BESS_2692_4,2692,4,43.142973,-79.021958,20.0,20.0,20.0,PS,PS,Hydroelectric Pumped Storage
BESS_2692_5,2692,5,43.142973,-79.021958,20.0,20.0,20.0,PS,PS,Hydroelectric Pumped Storage
BESS_2692_7,2692,7,43.142973,-79.021958,20.0,20.0,20.0,PS,PS,Hydroelectric Pumped Storage
BESS_2692_8,2692,8,43.142973,-79.021958,20.0,20.0,20.0,PS,PS,Hydroelectric Pumped Storage
BESS_2692_9,2692,9,43.142973,-79.021958,20.0,20.0,20.0,PS,PS,Hydroelectric Pumped Storage
BESS_57710_SRS1,57710,SRS1,42.556501,-73.377477,20.0,20.0,20.0,FW,BA,Flywheels
BESS_61739_SYR1,61739,SYR1,43.109574,-76.189224,1.0,1.0,1.0,BA,BA,Batteries
BESS_62147_KNY1,62147,KNY1,42.962412,-73.746506,20.0,20.0,20.0,BA,BA,Batteries
BESS_62733_BEH,62733,BEH,40.961751,-72.209858,5.0,5.0,5.0,BA,BA,Batteries
BESS_62734_BME,62734,BME,41.03988,-71.964359,5.0,5.0,5.0,BA,BA,Batteries
BESS_62839_ESS98,62839,ESS98,40.679137,-73.840187,2.0,1.8,1.8,BA,BA,Batteries
BESS_62981_BESS,62981,BESS,43.546613,-76.10403,2.0,2.0,2.0,BA,BA,Batteries
BESS_62999_BESS,62999,BESS,41.4565,-74.5465,3.0,3.0,3.0,BA,BA,Batteries
BESS_63000_BESS,63000,BESS,41.5841,-74.2163,4.0,4.0,4.0,BA,BA,Batteries
BESS_63238_WB1,63238,WB1,44.887905,-74.11828,20.0,20.0,20.0,BA,BA,Batteries
BESS_63337_14320,63337,14320,42.59251,-76.56563,3.0,3.0,3.0,BA,BA,Batteries
BESS_63340_20660,63340,20660,43.078888,-75.77222,3.0,3.0,3.0,BA,BA,Batteries
BESS_63341_20660,63341,20660,43.08748,-75.77959,3.0,3.0,3.0,BA,BA,Batteries
BESS_63415_BATT,63415,BATT,41.3902,-74.5199,1.6,1.6,1.6,BA,BA,Batteries
BESS_63585_NY3,63585,NY3,41.18512,-74.07467,3.0,3.0,3.0,BA,BA,Batteries
BESS_63774_KISCB,63774,KISCB,41.195478,-73.73606,0.7,0.5,0.5,BA,BA,Batteries
BESS_64084_BR1S,64084,BR1S,44.25479,-76.01178,5.0,5.0,5.0,BA,BA,Batteries
BESS_64087_BR2S,64087,BR2S,44.25479,-76.01178,5.0,5.0,5.0,BA,BA,Batteries
BESS_64090_NR12S,64090,NR12S,44.25479,-76.01178,5.0,5.0,5.0,BA,BA,Batteries
BESS_64092_GLSS,64092,GLSS,44.25479,-76.01178,5.0,5.0,5.0,BA,BA,Batteries
BESS_64291_B1,64291,B1,40.816971,-73.92411,1.0,1.0,1.0,BA,BA,Batteries
BESS_64291_B2,64291,B2,40.816971,-73.92411,1.0,1.0,1.0,BA,BA,Batteries
BESS_64291_B3,64291,B3,40.816971,-73.92411,1.0,1.0,1.0,BA,BA,Batteries
BESS_64374_NRWCB,64374,NRWCB,42.552861,-75.529572,5.0,5.0,5.0,BA,BA,Batteries
BESS_64442_MPES,64442,MPES,41.09999,-73.77155,0.7,0.7,0.7,BA,BA,Batteries
BESS_64453_VOLES,64453,VOLES,43.341,-76.354,3.0,3.0,3.0,BA,BA,Batteries
BESS_64686_65002,64686,65002,42.738686,-78.239731,24.7,20.0,20.0,BA,BA,Batteries
BESS_64719_BESS,64719,BESS,41.3698,-74.366,2.0,2.0,2.0,BA,BA,Batteries
BESS_65035_ESSFH,65035,ESSFH,40.61081,-74.07717,7.5,7.5,7.5,BA,BA,Batteries
BESS_65217_BESS,65217,BESS,41.3927,-74.3478,4.5,4.5,4.5,BA,BA,Batteries
BESS_65692_NY6,65692,NY6,42.804294,-78.827618,20.0,20.0,20.0,BA,BA,Batteries
BESS_65815_MPBS,65815,MPBS,41.27803,-73.86612,1.0,1.0,1.0,BA,BA,Batteries
BESS_66218_BAT,66218,BAT,41.598889,-74.285833,2.0,2.0,2.0,BA,BA,Batteries
BESS_66222_BAT,66222,BAT,41.900186,-74.024392,4.0,4.0,4.0,BA,BA,Batteries
BESS_66228_BAT,66228,BAT,41.741126,-73.882065,2.0,2.0,2.0,BA,BA,Batteries
BESS_66232_BAT,66232,BAT,41.535043,-74.322869,2.0,2.0,2.0,BA,BA,Batteries
BESS_66488_BAT,66488,BAT,41.42453,-74.36029,2.0,2.0,2.0,BA,BA,Batteries
BESS_66501_CCBA1,66501,CCBA1,43.147448,-76.086772,5.0,5.0,5.0,BA,BA,Batteries
BESS_66503_CCBA2,66503,CCBA2,43.151269,-76.08879,5.0,5.0,5.0,BA,BA,Batteries
BESS_66764_3954B,66764,3954B,42.85,-74.05,2.5,2.5,2.5,BA,BA,Batteries
BESS_66765_3595B,66765,3595B,42.884182,-74.080778,2.5,2.5,2.5,BA,BA,Batteries
BESS_66767_4725B,66767,4725B,43.511296,-76.119554,2.5,2.5,2.5,BA,BA,Batteries
BESS_66967_S049,66967,S049,40.652455,-73.870461,4.8,4.8,4.8,BA,BA,Batteries
BESS_67275_4072B,67275,4072B,41.008926,-73.757657,1.3,1.3,1.3,BA,BA,Batteries
BESS_67745_4075B,67745,4075B,41.021546,-73.758915,5.0,5.0,5.0,BA,BA,Batteries
BESS_67886_ND001,67886,ND001,40.86451,-73.83598,1.5,1.5,1.5,BA,BA,Batteries
BESS_67886_ND002,67886,ND002,40.86451,-73.83598,1.5,1.5,1.5,BA,BA,Batteries
