GEN,UnitOnT0State,PowerGeneratedT0
EIA_88_1,1000,1.8
EIA_88_2,1000,1.8
EIA_579_1,1000,3.2
EIA_625_1,1000,9.2
EIA_625_2,1000,9.2
EIA_808_1,1000,4.5
EIA_808_2,1000,4.5
EIA_2480_1,1000,68.0
EIA_2480_2,1000,65.7
EIA_2480_3,1000,137.7
EIA_2480_4,1000,225.9
EIA_2481_1,1000,2.4
EIA_2481_2,1000,2.4
EIA_2483_H1,1000,22.0
EIA_2485_GT1,1000,18.1
EIA_2486_H1,1000,4.8
EIA_2486_H2,1000,4.8
EIA_2486_H3,1000,4.8
EIA_2487_GT1,1000,20.2
EIA_2490_2,1000,362.2
EIA_2490_3,1000,522.7
EIA_2490_GT1,1000,12.3
EIA_2493_1,1000,151.5
EIA_2493_2,1000,155.0
EIA_2493_6,1000,141.4
EIA_2493_7,1000,182.4
EIA_2494_GT11,1000,19.1
EIA_2494_GT12,1000,17.1
EIA_2494_GT13,1000,17.2
EIA_2494_GT14,1000,17.1
EIA_2494_GT15,1000,16.5
EIA_2494_GT16,1000,18.0
EIA_2494_GT17,1000,17.6
EIA_2494_GT21,1000,17.9
EIA_2494_GT22,1000,18.8
EIA_2494_GT23,1000,20.6
EIA_2494_GT24,1000,19.3
EIA_2494_GT25,1000,18.6
EIA_2494_GT26,1000,20.3
EIA_2494_GT27,1000,19.6
EIA_2494_GT28,1000,17.7
EIA_2494_GT31,1000,17.7
EIA_2494_GT32,1000,17.7
EIA_2494_GT33,1000,19.8
EIA_2494_GT34,1000,17.9
EIA_2494_GT35,1000,19.0
EIA_2494_GT36,1000,17.6
EIA_2494_GT37,1000,18.1
EIA_2494_GT38,1000,19.0
EIA_2494_GT41,1000,16.8
EIA_2494_GT42,1000,17.3
EIA_2494_GT43,1000,17.6
EIA_2494_GT44,1000,17.1
EIA_2494_GT45,1000,17.1
EIA_2494_GT46,1000,18.6
EIA_2494_GT47,1000,16.6
EIA_2494_GT48,1000,19.0
EIA_2499_NT11,1000,21.0
EIA_2499_NT12,1000,19.5
EIA_2499_NT13,1000,20.4
EIA_2499_NT14,1000,20.1
EIA_2499_NT15,1000,19.8
EIA_2499_NT16,1000,18.9
EIA_2499_NT17,1000,18.4
EIA_2499_NT18,1000,19.9
EIA_2499_NT21,1000,19.4
EIA_2499_NT22,1000,18.7
EIA_2499_NT23,1000,18.4
EIA_2499_NT24,1000,18.4
EIA_2499_NT25,1000,19.9
EIA_2499_NT26,1000,18.1
EIA_2499_NT27,1000,20.7
EIA_2499_NT28,1000,17.5
EIA_2500_1,1000,368.5
EIA_2500_2,1000,374.5
EIA_2500_3,1000,987.3
EIA_2500_4,1000,150.4
EIA_2500_4S,1000,72.8
EIA_2503_GT1,1000,13.9
EIA_2504_GT1,1000,18.5
EIA_2504_GT2,1000,19.3
EIA_2511_10,1000,40.6
EIA_2511_11,1000,40.1
EIA_2511_12,1000,40.9
EIA_2511_3,1000,17.7
EIA_2511_4,1000,16.8
EIA_2511_5,1000,17.6
EIA_2511_6,1000,16.4
EIA_2511_8,1000,15.1
EIA_2511_9,1000,41.2
EIA_2511_GT1,1000,17.4
EIA_2511_GT2,1000,17.6
EIA_2511_ST1,1000,194.2
EIA_2511_ST2,1000,178.0
EIA_2514_GT2,1000,49.0
EIA_2514_GT3,1000,55.1
EIA_2516_2,1000,398.0
EIA_2516_3,1000,398.5
EIA_2516_4,1000,398.0
EIA_2516_GT1,1000,11.8
EIA_2516_ST1,1000,397.7
EIA_2517_3,1000,192.0
EIA_2517_4,1000,193.0
EIA_2517_GT1,1000,12.9
EIA_2517_GT2,1000,42.6
EIA_2517_GT3,1000,40.1
EIA_2518_GT1,1000,49.8
EIA_2518_GT2,1000,15.9
EIA_2522_2,1000,1.2
EIA_2522_3,1000,3.1
EIA_2527_4,1000,104.5
EIA_2528_1,1000,1.7
EIA_2528_2,1000,2.3
EIA_2530_1,1000,4.0
EIA_2530_3,1000,7.0
EIA_2539_5,1000,178.4
EIA_2539_6,1000,179.7
EIA_2539_7,1000,177.9
EIA_2539_8,1000,279.5
EIA_2540_1,1000,3.5
EIA_2543_1,1000,8.5
EIA_2543_2,1000,8.1
EIA_2544_1,1000,0.4
EIA_2544_2,1000,0.5
EIA_2544_3,1000,0.9
EIA_2545_1,1000,8.4
EIA_2545_2,1000,8.4
EIA_2545_3,1000,6.3
EIA_2545_4,1000,7.2
EIA_2546_1,1000,1.5
EIA_2546_2,1000,1.5
EIA_2546_3,1000,1.5
EIA_2547_1,1000,14.2
