Bus ID,Bus Name,Sub Name,BaseKV,Bus Type,MW Load,MVAR Load,Area,Sub Area,Zone,lat,lng,osm_id,is_split
0,Moraine_Road_Station,MORAINE ROAD STATION,115.0,PQ,0.0,0.0,1,1,A,42.45737,-77.74501,1443347120.0,False
1,Calspan_Substation,CALSPAN SUBSTATION,115.0,PQ,0.0,0.0,1,1,A,42.9322,-78.72264,1441736117.0,False
4,KCE_NY6_Substation,KCE NY6 SUBSTATION,115.0,PQ,0.0,0.0,1,1,A,42.80404,-78.82753,1437034349.0,False
5,Beth_8A_Substation,BETH 8A SUBSTATION,115.0,PQ,0.0,0.0,1,1,A,42.80003,-78.83692,1437034328.0,False
7,Ball_Hill_Wind_Substation,BALL HILL WIND SUBSTATION,230.0,PQ,0.0,0.0,1,1,A,42.51012,-79.15805,1436851747.0,False
8,West_Ashville_Station,WEST ASHVILLE STATION,115.0,PQ,0.0,0.0,1,1,A,42.07682,-79.44408,1432687467.0,False
9,Union_Valley_Substation,UNION VALLEY SUBSTATION,115.0,PQ,0.0,0.0,7,7,G,41.35207,-73.74658,1377930868.0,False
11,Ischua_Switch_Towers,ISCHUA SWITCH TOWERS,115.0,PQ,0.0,0.0,1,1,A,42.2659,-78.49374,1342736665.0,False
12,Starr_Road_Station,STARR ROAD STATION,115.0,PQ,0.0,0.0,3,3,C,42.5835,-76.19901,1323036169.0,False
13,Salisbury_Station,SALISBURY STATION,115.0,PQ,0.0,0.0,3,3,C,43.06566,-74.84521,1318913123.0,False
14,Watkins_Road_Station,WATKINS ROAD STATION,115.0,PQ,0.0,0.0,3,3,C,43.06332,-75.05691,1318905041.0,False
18,Middle_Road_Station,MIDDLE ROAD STATION,115.0,PQ,0.0,0.0,4,4,D,43.93855,-75.82966,1313125472.0,False
19,Chateaugay,CHATEAUGAY,115.0,PQ,0.0,0.0,4,4,D,44.92446,-74.11139,1297208149.0,False
20,Stark,STARK,115.0,PQ,0.0,0.0,4,4,D,44.45506,-74.76089,1293539059.0,False
21,Pyrites,PYRITES,115.0,PQ,0.0,0.0,4,4,D,44.51951,-75.18662,1290802028.0,False
23,North_Gouverneur_Station,NORTH GOUVERNEUR STATION,115.0,PQ,0.0,0.0,4,4,D,44.34457,-75.47728,1290673017.0,False
24,Balmat_Station,BALMAT STATION,115.0,PQ,0.0,0.0,4,4,D,44.25225,-75.39781,1290564521.0,False
25,Sunday_Creek_Station,SUNDAY CREEK STATION,115.0,PQ,0.0,0.0,3,3,C,43.87165,-75.13596,1288692222.0,False
26,Station_216,STATION 216,115.0,PQ,0.0,0.0,2,2,B,43.24081,-77.08013,1271230027.0,False
