Date,Hour,Line,Flow
2025-11-05,0,L1109_1111,488.4193
2025-11-05,0,L826_827,253.7114
2025-11-05,0,L1617_2124,-118.4844
2025-11-05,0,L32_41,-17.7733
2025-11-05,0,L1625_1919,1200.0
2025-11-05,0,L1622_3102,-281.5359
2025-11-05,0,L2421_3054,90.4437
2025-11-05,0,L1922_2903,52.2814
2025-11-05,0,L1487_1490,721.9275
2025-11-05,0,L3037_3061,887.5558
2025-11-05,0,L2088_3124,-183.0744
2025-11-05,0,L3073_3087,122.4855
2025-11-05,0,L2173_2389,-142.9657
2025-11-05,0,L710_2392,84.2998
2025-11-05,0,L1519_1682,-2.599
2025-11-05,0,L1606_1612,-180.3602
2025-11-05,0,L2032_3046,615.3182
2025-11-05,0,L838_2440,-485.9308
2025-11-05,0,L3131_3143,-718.0847
2025-11-05,0,L3131_3132,2.8614
2025-11-05,0,L820_821,-89.7619
2025-11-05,0,L3075_3076,122.2822
2025-11-05,0,L1565_2966,159.84
2025-11-05,0,L812_813,-182.315
2025-11-05,0,L1518_1691,390.0424
2025-11-05,0,L0_1976,72.8556
2025-11-05,0,L1588_1599,-278.66
2025-11-05,0,L99_1752,-308.6742
2025-11-05,0,L804_1650,686.8403
2025-11-05,0,L2050_3059,-209.544
2025-11-05,0,L852_2447,-105.9132
2025-11-05,0,L1488_2112,-32.1806
2025-11-05,0,L1590_1622,-625.5136
2025-11-05,0,L3042_3043,411.956
2025-11-05,0,L0_3078,-1019.4843
2025-11-05,0,L794_2208,-334.9723
2025-11-05,0,L1531_1540,96.6046
2025-11-05,0,L1910_3051,619.2829
2025-11-05,0,L1638_2380,599.8819
2025-11-05,0,L1645_1649,1.9662
2025-11-05,0,L1684_1687,-152.8135
2025-11-05,0,L795_1546,152.4263
2025-11-05,0,L1486_3053,308.8737
2025-11-05,0,L580_1645,477.6303
2025-11-05,0,L2995_3104,-1125.7104
2025-11-05,0,L3096_3097,1021.9885
2025-11-05,0,L1664_3042,582.1528
2025-11-05,0,L1937_2317,-959.9355
2025-11-05,0,L1700_1822,57.6038
2025-11-05,0,L129_818,140.0205
2025-11-05,0,L1543_3058,-208.6185
2025-11-05,0,L2362_2382,-498.457
2025-11-05,0,L0_3108,946.6287
2025-11-05,0,L1968_2963,-800.8236
2025-11-05,0,L536_999,3.8636
2025-11-05,0,L346_3053,90.8874
2025-11-05,0,L1893_3040,1038.1306
2025-11-05,0,L2054_2423,1.0068
2025-11-05,0,L1603_2409,259.2641
2025-11-05,0,L1593_1597,65.5042
2025-11-05,0,L3061_3069,535.4435
2025-11-05,0,L1549_3083,-237.7076
2025-11-05,0,L3129_3139,-198.7842
2025-11-05,0,L1492_3052,75.9146
2025-11-05,0,L840_1578,421.2144
2025-11-05,0,L1560_2357,181.6507
2025-11-05,0,L2311_2437,47.8214
2025-11-05,0,L2409_3134,-220.1409
2025-11-05,0,L2230_2314,-334.2964
2025-11-05,0,L793_924,706.262
2025-11-05,0,L577_820,-1.6345
2025-11-05,0,L3077_3081,193.9881
2025-11-05,0,L1719_1937,-620.4926
2025-11-05,0,L1581_1582,67.1212
2025-11-05,0,L1617_3104,600.0996
2025-11-05,0,L1971_3073,174.5888
2025-11-05,0,L1503_1515,703.5289
2025-11-05,0,L3067_3068,-73.1699
2025-11-05,0,L1590_2978,11.5408
2025-11-05,0,L1599_1647,0.5
2025-11-05,0,L1641_1642,-0.7365
2025-11-05,0,L1603_2450,-354.1224
2025-11-05,0,L1526_1528,-346.839
2025-11-05,0,L1635_1636,-419.1371
2025-11-05,0,L1609_1612,58.1381
2025-11-05,0,L3006_3084,525.8663
2025-11-05,0,L1638_3135,-791.0606
2025-11-05,0,L2319_2320,-932.3715
2025-11-05,0,L1559_1821,215.4878
2025-11-05,0,L2451_2551,-0.1244
2025-11-05,0,L2448_2449,0.2168
2025-11-05,0,L1547_1821,-0.6922
2025-11-05,0,L1589_2978,-9.0569
2025-11-05,0,L2214_3140,-501.9318
2025-11-05,0,L2354_2355,0.5642
2025-11-05,0,L606_3055,-15.6142
2025-11-05,0,L1648_1651,1.9662
2025-11-05,0,L1601_1895,439.2244
2025-11-05,0,L19_3127,-11.0495
2025-11-05,0,L2280_3136,-1.999
2025-11-05,0,L1583_2980,0.1988
2025-11-05,0,L834_2385,-258.1099
2025-11-05,0,L522_820,67.2119
2025-11-05,0,L1516_1517,-2.599
2025-11-05,0,L1482_1484,-167.2357
2025-11-05,0,L68_1604,-222.1577
2025-11-05,0,L2336_2342,314.4927
2025-11-05,0,L1937_2783,222.0776
2025-11-05,0,L2995_3107,1117.8187
2025-11-05,0,L804_805,-195.1785
2025-11-05,0,L14_836,-46.7155
2025-11-05,0,L1570_1571,45.8875
2025-11-05,0,L1818_1937,941.8648
2025-11-05,0,L126_2372,102.2748
2025-11-05,0,L862_1488,339.1737
2025-11-05,0,L2313_3063,-0.9125
2025-11-05,0,L794_3139,273.4325
2025-11-05,0,L829_838,170.137
2025-11-05,0,L1515_1517,678.8663
2025-11-05,0,L3012_3115,142.3675
2025-11-05,0,L788_1109,489.0023
2025-11-05,0,L805_2413,0.5853
2025-11-05,0,L803_2352,864.3567
2025-11-05,0,L1688_1770,102.607
2025-11-05,0,L1910_3046,-318.6356
2025-11-05,0,L1604_1612,317.2769
2025-11-05,0,L1570_1590,-67.6542
2025-11-05,0,L1553_1560,165.7002
2025-11-05,0,L822_3065,-162.6326
2025-11-05,0,L99_1409,504.3641
2025-11-05,0,L801_1629,1150.821
2025-11-05,0,L1531_3051,-616.6839
2025-11-05,0,L1650_2277,768.7989
2025-11-05,0,L1909_3122,24.2764
2025-11-05,0,L1899_1909,543.2005
2025-11-05,0,L3119_3120,10.1173
2025-11-05,0,L129_2428,-106.5981
2025-11-05,0,L1895_3078,1200.0
2025-11-05,0,L999_3038,3.5626
2025-11-05,0,L2950_2952,257.8244
2025-11-05,0,L577_2719,-179.888
2025-11-05,0,L991_1606,-308.8084
2025-11-05,0,L3098_3099,59.5912
2025-11-05,0,L806_2415,287.3306
2025-11-05,0,L2341_3071,277.3134
2025-11-05,0,L1524_1662,-41.4736
2025-11-05,0,L807_2383,276.1284
2025-11-05,0,L1598_3109,-476.6104
2025-11-05,0,L2414_2415,111.6784
2025-11-05,0,L3006_3089,-460.6697
2025-11-05,0,L2964_3122,-128.5077
2025-11-05,0,L1631_3094,-230.8379
2025-11-05,0,L202_808,-280.7332
2025-11-05,0,L851_3056,-1.0068
2025-11-05,0,L1515_1818,173.1018
2025-11-05,0,L924_3127,428.3363
2025-11-05,0,L177_837,-185.9708
2025-11-05,0,L1013_1498,-620.0178
2025-11-05,0,L514_3067,-202.8148
2025-11-05,0,L1598_1680,321.1722
2025-11-05,0,L129_2341,-35.9943
2025-11-05,0,L1596_1597,-12.2061
2025-11-05,0,L1650_2308,667.2287
2025-11-05,0,L2963_2986,-716.4468
2025-11-05,0,L1625_1696,-1200.0
2025-11-05,0,L520_824,72.3705
2025-11-05,0,L2433_2435,2.8802
2025-11-05,0,L1303_3045,-36.548
2025-11-05,0,L999_2286,-197.0427
2025-11-05,0,L1888_3082,0.0
2025-11-05,0,L3036_3124,297.7126
2025-11-05,0,L1528_2272,-776.165
2025-11-05,0,L814_815,-129.7437
2025-11-05,0,L2310_2311,-296.9765
2025-11-05,0,L3069_3070,-166.7939
2025-11-05,0,L2050_2051,209.1573
2025-11-05,0,L2955_3075,-74.6894
2025-11-05,0,L1692_1693,283.5001
2025-11-05,0,L804_816,-493.628
2025-11-05,0,L1484_2373,-187.5409
2025-11-05,0,L1496_2364,-374.3632
2025-11-05,0,L1490_1495,792.2241
2025-11-05,0,L1664_1821,-455.6573
2025-11-05,0,L2028_2317,31.578
2025-11-05,0,L1599_2261,193.279
2025-11-05,0,L206_3128,-636.1494
2025-11-05,0,L1889_3026,-179.0688
2025-11-05,0,L1600_1895,-1200.0
2025-11-05,0,L1613_3089,540.617
2025-11-05,0,L1937_3057,684.5654
2025-11-05,0,L2411_2412,0.4633
2025-11-05,0,L1607_1612,146.5555
2025-11-05,0,L1573_1590,-326.1093
2025-11-05,0,L1621_3087,-180.2484
2025-11-05,0,L836_1583,159.5791
2025-11-05,0,L1636_2380,-688.8306
2025-11-05,0,L62_1601,431.3886
2025-11-05,0,L808_2230,-278.6602
2025-11-05,0,L202_2131,722.3785
2025-11-05,0,L2390_3038,-0.5631
2025-11-05,0,L2261_3145,281.9685
2025-11-05,0,L807_3071,-276.7209
2025-11-05,0,L2307_2335,210.2158
2025-11-05,0,L788_1584,-63.2578
2025-11-05,0,L1664_1851,-365.0501
2025-11-05,0,L125_2230,-54.8146
2025-11-05,0,L2195_3092,-26.236
2025-11-05,0,L1515_1791,-151.0382
2025-11-05,0,L1580_3067,155.8053
2025-11-05,0,L2365_2366,-1.0458
2025-11-05,0,L1013_3045,97.7703
2025-11-05,0,L515_1650,102.0976
2025-11-05,0,L1483_3055,29.1784
2025-11-05,0,L2951_3085,-257.8244
2025-11-05,0,L1665_3100,-710.5625
2025-11-05,0,L1062_2272,553.2016
2025-11-05,0,L795_2049,210.2001
2025-11-05,0,L1583_1584,469.4835
2025-11-05,0,L1818_1845,271.2416
2025-11-05,0,L1571_2969,-38.9774
2025-11-05,0,L850_2054,73.653
2025-11-05,0,L5_182,-77.2444
2025-11-05,0,L31_32,-20.1216
2025-11-05,0,L643_644,5.6533
2025-11-05,0,L2042_3109,178.0668
2025-11-05,0,L794_2389,125.6672
2025-11-05,0,L3113_3117,-747.6189
2025-11-05,0,L1937_3029,9.012
2025-11-05,0,L10_753,378.4617
2025-11-05,0,L1598_2436,0.0
2025-11-05,0,L580_2311,-410.5181
2025-11-05,0,L1578_2115,735.3682
2025-11-05,0,L1522_1761,97.7404
2025-11-05,0,L182_2320,941.3835
2025-11-05,0,L1605_3062,522.6259
2025-11-05,0,L2113_3019,-1.4772
2025-11-05,0,L1622_3103,-365.4581
2025-11-05,0,L3111_3112,-710.5625
2025-11-05,0,L1637_1638,-331.7848
2025-11-05,0,L3048_3049,520.6064
2025-11-05,0,L3041_3044,-222.3864
2025-11-05,0,L2279_3137,-0.2163
2025-11-05,0,L1409_1807,184.5285
2025-11-05,0,L1754_3083,434.6324
2025-11-05,0,L2984_3012,142.3675
2025-11-05,0,L2312_3072,164.861
2025-11-05,0,L2064_2282,-21.6418
2025-11-05,0,L3061_3070,326.5173
2025-11-05,0,L1558_3122,135.1501
2025-11-05,0,L182_2137,-930.1423
2025-11-05,0,L44_491,-94.3742
2025-11-05,0,L1691_1837,429.1516
2025-11-05,0,L3086_3103,230.6047
2025-11-05,0,L1615_3105,-534.2027
2025-11-05,0,L1847_2534,197.0986
2025-11-05,0,L2229_2274,0.2336
2025-11-05,0,L2366_2382,240.6728
2025-11-05,0,L1623_3086,250.3874
2025-11-05,0,L2061_2062,-0.4729
2025-11-05,0,L1511_1937,-314.0777
2025-11-05,0,L788_2282,-336.8247
2025-11-05,0,L1554_1555,-319.8154
2025-11-05,0,L792_3130,-709.5005
2025-11-05,0,L1738_1739,283.5151
2025-11-05,0,L4_819,-282.3261
2025-11-05,0,L19_2062,5.7612
2025-11-05,0,L1487_2372,-231.7416
2025-11-05,0,L643_1525,41.0655
2025-11-05,0,L2042_3079,-21.1094
2025-11-05,0,L202_1613,290.7078
2025-11-05,0,L1578_1605,-46.1428
2025-11-05,0,L1522_1770,-100.1737
2025-11-05,0,L808_1606,-243.1158
2025-11-05,0,L94_3056,-28.233
2025-11-05,0,L2409_2410,0.4197
2025-11-05,0,L832_1604,132.5194
2025-11-05,0,L345_346,90.8937
2025-11-05,0,L577_578,-223.376
2025-11-05,0,L1623_2352,-943.7391
2025-11-05,0,L837_2448,0.4336
2025-11-05,0,L1525_1527,53.0322
2025-11-05,0,L2506_2507,-10.4936
2025-11-05,0,L791_1633,-2.991
2025-11-05,0,L68_2385,220.9727
2025-11-05,0,L3130_3131,-712.3619
2025-11-05,0,L1567_1909,-111.5041
2025-11-05,0,L2959_3124,-114.6382
2025-11-05,0,L837_1578,254.732
2025-11-05,0,L1818_2137,930.1423
2025-11-05,0,L94_331,-134.1732
2025-11-05,0,L2255_3139,-73.6367
2025-11-05,0,L1845_2259,-51.6001
2025-11-05,0,L1613_1614,-250.4146
2025-11-05,0,L1683_1687,357.9222
2025-11-05,0,L809_828,183.395
2025-11-05,0,L1919_3104,525.6108
2025-11-05,0,L3122_3123,29.2493
2025-11-05,0,L2415_3142,503.7958
2025-11-05,0,L812_3066,339.785
2025-11-05,0,L117_1505,1164.9589
2025-11-05,0,L2438_2439,151.3857
2025-11-05,0,L2983_3117,747.6189
2025-11-05,0,L1483_2373,-371.8335
2025-11-05,0,L2309_2440,201.3337
2025-11-05,0,L164_3040,-1036.4155
2025-11-05,0,L1546_2576,0.7734
2025-11-05,0,L51_1684,-152.8135
2025-11-05,0,L1552_1553,42.5731
2025-11-05,0,L1574_2392,-81.4196
2025-11-05,0,L1722_1752,529.2095
2025-11-05,0,L1541_1742,195.1938
2025-11-05,0,L830_838,93.108
2025-11-05,0,L3136_3137,-0.7798
2025-11-05,0,L3080_3081,-101.7233
2025-11-05,0,L3046_3048,294.0836
2025-11-05,0,L1569_3081,-89.5173
2025-11-05,0,L16_2308,164.4265
2025-11-05,0,L1621_3101,179.5119
2025-11-05,0,L3115_3116,189.7729
2025-11-05,0,L3102_3145,-281.7522
2025-11-05,0,L1517_1682,615.1332
2025-11-05,0,L2373_2375,-560.0248
2025-11-05,0,L1662_3049,-500.509
2025-11-05,0,L1637_3084,323.5874
2025-11-05,0,L2378_3052,-626.8726
2025-11-05,0,L3050_3126,-170.1073
2025-11-05,0,L1638_1639,-458.3282
2025-11-05,0,L803_1624,611.7255
2025-11-05,0,L37_41,20.5275
2025-11-05,0,L819_1365,169.9141
2025-11-05,0,L924_2236,355.6982
2025-11-05,0,L1620_1971,175.5883
2025-11-05,0,L1608_1612,86.3913
2025-11-05,0,L996_3037,555.7172
2025-11-05,0,L1634_3078,-180.5157
2025-11-05,0,L1599_2430,127.2969
2025-11-05,0,L1596_1606,373.8226
2025-11-05,0,L1680_2984,142.3675
2025-11-05,0,L2953_3076,-122.2822
2025-11-05,0,L1572_3034,-170.5047
