Date,Hour,FixedCosts,VariableCosts,LoadShedding,OverGeneration,AvailableReserves,ReserveShortfall,RenewablesUsed,RenewablesAvailable,RenewablesCurtailment,Demand,Price,Number on/offs,Sum on/off ramps,Sum nominal ramps
2025-11-05,0,398213.88,699180.9742,2976.4004,864.3584,6207.7075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,274,0.0,22715.7425
2025-11-05,1,390872.88,706521.9742,2976.4004,864.3584,5473.6075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,1,0.0,1653.9177
2025-11-05,2,390872.88,706521.9742,2976.4004,864.3584,5473.6075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,0,0.0,0.0
2025-11-05,3,390872.88,706521.9742,2976.4004,864.3584,5473.6075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,0,0.0,0.0
2025-11-05,4,392981.28,704413.5742,2976.4004,864.3584,5419.4075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,3,130.8,169.6
2025-11-05,5,392981.28,704413.5742,2976.4004,864.3584,5724.6075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,0,0.0,308.5854
2025-11-05,6,391015.68,706379.1742,2976.4004,864.3584,5461.2075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,2,12.6,755.94
2025-11-05,7,391015.68,706379.1742,2976.4004,864.3584,5490.6075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,0,0.0,366.6072
2025-11-05,8,397555.68,699839.1742,2976.4004,864.3584,5752.2075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,1,261.6,1758.9499
2025-11-05,9,397555.68,699839.1742,2976.4004,864.3584,6144.6075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,0,0.0,2441.8221
2025-11-05,10,399874.08,697520.7742,2976.4004,864.3584,6227.4075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,1,82.8,844.6021
2025-11-05,11,399874.08,697520.7742,2976.4004,864.3584,6420.6075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,0,0.0,1381.4255
2025-11-05,12,394468.68,702926.1742,2976.4004,864.3584,5777.1075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,3,0.0,2085.5758
2025-11-05,13,396022.68,701372.1742,2976.4004,864.3584,5703.1075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,3,111.0,1229.2066
2025-11-05,14,396022.68,701372.1742,2976.4004,864.3584,5962.1075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,0,0.0,1284.4211
2025-11-05,15,396022.68,701372.1742,2976.4004,864.3584,5962.1075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,0,0.0,0.0
2025-11-05,16,394351.92,702440.2678,2974.2733,866.5715,5778.7696,0.0,8721.0665,19818.22,11097.1535,50893.9987,21.5505,1,0.0,2713.9102
2025-11-05,17,391344.72,705447.4678,2974.2733,866.5715,5420.7696,0.0,8721.0665,19818.22,11097.1535,50893.9987,21.5505,2,0.0,1799.8098
2025-11-05,18,387501.72,709290.4678,2974.2733,866.5715,4821.5196,0.0,8721.0665,19818.22,11097.1535,50893.9987,21.5505,3,60.75,1495.4098
2025-11-05,19,392558.52,704233.6678,2974.2733,866.5715,5143.8696,0.0,8721.0665,19818.22,11097.1535,50893.9987,21.5505,3,180.6,416.494
2025-11-05,20,394229.28,703165.5742,2976.4004,864.3584,5609.3775,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,1,59.67,1750.0592
2025-11-05,21,394229.28,703165.5742,2976.4004,864.3584,5748.6075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,0,0.0,1765.3311
2025-11-05,22,392280.48,705114.3742,2976.4004,864.3584,5516.6075,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,1,0.0,1265.0891
2025-11-05,23,397420.44,699974.4142,2976.4004,864.3584,4878.2475,0.0,8701.1641,19818.22,11117.0559,50893.9987,21.5624,16,501.53999999999996,2014.7765
