SCEDTimeStamp,RepeatedHourFlag,ConstraintID,ConstraintName,ContingencyName,ShadowPrice,MaxShadowPrice,Limit,Value,ViolatedMW,FromStation,ToStation,FromStationkV,ToStationkV,CCTStatus
02/24/2026 11:55:17,N,5,WESTEX,BASE CASE,10.29741,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:55:17,N,7,MLB_SLR_TLINE_1,BASE CASE,0,5251,200,193.8,-6.1,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:55:17,N,11,NE_LOB,BASE CASE,0,5251,1593.8,1535,-58.8,,,0,0,NONCOMP
02/24/2026 11:55:17,N,3,HHGTOM_1,BASE CASE,25.26511,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
02/24/2026 11:55:17,N,4,16050__B,SW_SDIV5,0,3500,263.4,219.9,-43.5,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:55:17,N,1,6215__A,DSCOTKW5,85.47247,3500,219,219,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:55:17,N,12,641__A,DSALKLN5,0,3500,404.2,256.2,-148,KLNSW,STAGE,138,138,COMP
02/24/2026 11:55:17,N,2,THWZEN71_A,DRNS_TB5,1.00866,4500,1298.4,1298.4,0,ZEN,THW,345,345,COMP
02/24/2026 11:55:17,N,6,6513__A,DODEMOS5,109.5511,3500,432.8,432.8,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:55:17,N,10,6437__F,DMTSCOS5,3.43383,3500,219,219,0,SCRCV,KNAPP,138,138,COMP
02/24/2026 11:55:17,N,9,2270__B,DCMBCLB8,0,2800,39.4,11.4,-28,ITALY,MEXTP,69,69,NONCOMP
02/24/2026 11:55:17,N,13,NORTMC_AT2L,DBAKSOL5,47.40549,3500,870.2,870.2,0,NORTMC,NORTMC,1,138,COMP
02/24/2026 11:55:17,N,8,RAYBUR_FURHMAN_1,SFURVAN8,0,3500,167.2,137.7,-29.4,FURHMAN,RAYBURN,138,138,NONCOMP
02/24/2026 11:50:18,N,8,RAYBUR_FURHMAN_1,SFURVAN8,0.1827,3500,167.3,167.3,0,FURHMAN,RAYBURN,138,138,NONCOMP
02/24/2026 11:50:18,N,7,MLB_SLR_TLINE_1,BASE CASE,0,5251,199.9,193,-6.9,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:50:18,N,6,6513__A,DODEMOS5,106.46729,3500,434.7,434.7,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:50:18,N,10,6437__F,DMTSCOS5,3.01987,3500,221.5,221.5,0,SCRCV,KNAPP,138,138,COMP
02/24/2026 11:50:18,N,9,2270__B,DCMBCLB8,0,2800,39,38.1,-0.9,ITALY,MEXTP,69,69,NONCOMP
02/24/2026 11:50:18,N,5,WESTEX,BASE CASE,10.98543,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:50:18,N,11,NE_LOB,BASE CASE,0,5251,1593.8,1580.5,-13.2,,,0,0,NONCOMP
02/24/2026 11:50:18,N,3,HHGTOM_1,BASE CASE,25.22887,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
