section,row_num,unit_name,inr,unit_code,county,fuel,zone,in_service,installed_mw,apr2026_mora
Operational Resources (Thermal),4,COMANCHE PEAK U1,,CPSES_UNIT1,SOMERVELL,NUCLEAR,NORTH,1990,1269.0,1227.0
Operational Resources (Thermal),5,COMANCHE PEAK U2,,CPSES_UNIT2,SOMERVELL,NUCLEAR,NORTH,1993,1269.0,1214.0
Operational Resources (Thermal),6,SOUTH TEXAS U1,,STP_STP_G1,MATAGORDA,NUCLEAR,COASTAL,1988,1365.0,1323.2
Operational Resources (Thermal),7,SOUTH TEXAS U2,,STP_STP_G2,MATAGORDA,NUCLEAR,COASTAL,1989,1365.0,1310.0
Operational Resources (Thermal),8,COLETO CREEK,,COLETO_COLETOG1,GOLIAD,COAL,SOUTH,1980,655.0,655.0
Operational Resources (Thermal),9,FAYETTE POWER U1,,FPPYD1_FPP_G1,FAYETTE,COAL,SOUTH,1979,615.0,608.0
Operational Resources (Thermal),10,FAYETTE POWER U2,,FPPYD1_FPP_G2,FAYETTE,COAL,SOUTH,1980,615.0,608.0
Operational Resources (Thermal),11,FAYETTE POWER U3,,FPPYD2_FPP_G3,FAYETTE,COAL,SOUTH,1988,460.0,448.0
Operational Resources (Thermal),12,J K SPRUCE U1,,CALAVERS_JKS1,BEXAR,COAL,SOUTH,1992,560.0,560.0
Operational Resources (Thermal),13,J K SPRUCE U2,,CALAVERS_JKS2,BEXAR,COAL,SOUTH,2010,922.0,785.0
Operational Resources (Thermal),14,LIMESTONE U1,,LEG_LEG_G1,LIMESTONE,COAL,NORTH,1985,893.0,831.0
Operational Resources (Thermal),15,LIMESTONE U2,,LEG_LEG_G2,LIMESTONE,COAL,NORTH,1986,956.8,857.0
Operational Resources (Thermal),16,MARTIN LAKE U1,,MLSES_UNIT1,RUSK,COAL,NORTH,1977,893.0,815.0
Operational Resources (Thermal),17,MARTIN LAKE U2,,MLSES_UNIT2,RUSK,COAL,NORTH,1978,893.0,820.0
Operational Resources (Thermal),18,MARTIN LAKE U3,,MLSES_UNIT3,RUSK,COAL,NORTH,1979,893.0,820.0
Operational Resources (Thermal),19,OAK GROVE SES U1,,OGSES_UNIT1A,ROBERTSON,COAL,NORTH,2010,916.8,855.0
Operational Resources (Thermal),20,OAK GROVE SES U2,,OGSES_UNIT2,ROBERTSON,COAL,NORTH,2011,916.8,855.0
Operational Resources (Thermal),21,SAN MIGUEL U1,,SANMIGL_G1,ATASCOSA,COAL,SOUTH,1982,430.0,391.0
Operational Resources (Thermal),22,SANDY CREEK U1,,SCES_UNIT1,MCLENNAN,COAL,NORTH,2013,1008.0,932.6
Operational Resources (Thermal),23,TWIN OAKS U1,,TNP_ONE_TNP_O_1,ROBERTSON,COAL,NORTH,1990,174.6,155.0
Operational Resources (Thermal),24,TWIN OAKS U2,,TNP_ONE_TNP_O_2,ROBERTSON,COAL,NORTH,1991,174.6,155.0
Operational Resources (Thermal),25,W A PARISH U5,,WAP_WAP_G5,FORT BEND,COAL,HOUSTON,1977,734.1,664.0
Operational Resources (Thermal),26,W A PARISH U6,,WAP_WAP_G6,FORT BEND,COAL,HOUSTON,1978,734.1,663.0
Operational Resources (Thermal),27,W A PARISH U7,,WAP_WAP_G7,FORT BEND,COAL,HOUSTON,1980,614.6,577.0
Operational Resources (Thermal),28,W A PARISH U8,,WAP_WAP_G8,FORT BEND,COAL,HOUSTON,1982,654.0,610.0
Operational Resources (Thermal),29,ARTHUR VON ROSENBERG 1 CTG 1,,BRAUNIG_AVR1_CT1,BEXAR,GAS-CC,SOUTH,2000,189.0,178.9
Operational Resources (Thermal),30,ARTHUR VON ROSENBERG 1 CTG 2,,BRAUNIG_AVR1_CT2,BEXAR,GAS-CC,SOUTH,2000,189.0,178.9
Operational Resources (Thermal),31,ARTHUR VON ROSENBERG 1 STG,,BRAUNIG_AVR1_ST,BEXAR,GAS-CC,SOUTH,2000,222.0,199.9
Operational Resources (Thermal),32,ATKINS CTG 7,,ATKINS_ATKINSG7,BRAZOS,GAS-GT,NORTH,1973,21.0,19.0
Operational Resources (Thermal),33,BARNEY M DAVIS CTG 3,,B_DAVIS_B_DAVIG3,NUECES,GAS-CC,COASTAL,2010,189.6,161.0
Operational Resources (Thermal),34,BARNEY M DAVIS CTG 4,,B_DAVIS_B_DAVIG4,NUECES,GAS-CC,COASTAL,2010,189.6,161.0
Operational Resources (Thermal),35,BARNEY M DAVIS STG 1,,B_DAVIS_B_DAVIG1,NUECES,GAS-ST,COASTAL,1974,352.8,292.0
Operational Resources (Thermal),36,BARNEY M DAVIS STG 2,,B_DAVIS_B_DAVIG2,NUECES,GAS-CC,COASTAL,1976,351.0,322.0
Operational Resources (Thermal),37,BASTROP ENERGY CENTER CTG 1,,BASTEN_GTG1100,BASTROP,GAS-CC,SOUTH,2002,188.0,178.0
Operational Resources (Thermal),38,BASTROP ENERGY CENTER CTG 2,,BASTEN_GTG2100,BASTROP,GAS-CC,SOUTH,2002,188.0,178.0
Operational Resources (Thermal),39,BASTROP ENERGY CENTER STG,,BASTEN_ST0100,BASTROP,GAS-CC,SOUTH,2002,242.0,236.0
