ercot_substation,lat,lon,match_source,confidence,score,matched_name,load_zone,max_voltage_kv,eia_plant_code,osm_id,propagated_from
36POD,29.271,-98.456,propagated,low,0,,LZ_WEST,138.0,,,BEXAR_ES
7RNCHSLR,32.104125,-100.162375,propagated,low,0,,LZ_SOUTH,138.0,,,HOLSTEIN
89NWK,29.883214,-95.111345,propagated,low,0,,LZ_NORTH,138.0,,,CHAMON
A0,34.6675,-102.577778,propagated,low,0,,LZ_SOUTH,138.0,,,MARIAH
A3,29.280583,-98.572113,propagated,low,0,,LZ_SOUTH,138.0,,,HOWARD
A4,32.937247,-96.624944,propagated,low,0,,LZ_SOUTH,138.0,,,CRIST
A5,32.094466,-98.972723,propagated,low,0,,LZ_SOUTH,138.0,,,RISNGSTR
AAPIPLNC,28.985999,-95.358109,propagated,low,0,,LZ_WEST,138.0,,,DOW
AAPIPLNM,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,
ABBOT,31.884976,-97.077711,osm,high,97.3,Abbott Substation,LZ_NORTH,69.0,,346832065,
ABBYBEND,29.271,-98.456,propagated,low,0,,LZ_NORTH,138.0,,,BEXAR_ES
ABEAST,31.593316,-100.178079,propagated,low,0,,LZ_WEST,138.0,,,MILES
ABERNATH,31.517,-100.6,propagated,low,0,,LZ_WEST,345.0,,,RAMBLER
ABINDUST,33.221074,-96.917938,propagated,low,0,,LZ_WEST,138.0,,,NAVO
ABLSPRRC,31.503698,-97.762643,propagated,low,0,,LZ_NORTH,138.0,,,GATESVL2
ABNTHWST,26.142247,-97.641923,propagated,low,0,,LZ_WEST,138.0,,,LA_PALMA
ABPOD,31.843422,-102.868295,propagated,low,0,,LZ_WEST,138.0,,,PHOEBE
ABPOWERS,26.191337,-97.665118,propagated,low,0,,LZ_WEST,69.0,,,E_HARRIS
ABR,31.503698,-97.762643,propagated,low,0,,LZ_NORTH,138.0,,,GATESVL2
ABRRD,31.517,-100.6,propagated,low,0,,LZ_NORTH,138.0,,,RAMBLER
ABWALNUT,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,
ACACIA,29.592902,-104.334473,osm,high,100,Acacia Substation,LZ_WEST,69.0,,503420903,
ACH,33.393056,-95.146667,propagated,low,0,,LZ_HOUSTON,138.0,,,RVR
ACKRLY,32.594526,-101.78803,osm,high,98.3,Ackerly Substation,LZ_WEST,138.0,,458726857,
ACRLY,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,
ACSSW,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,
ACT,32.870498,-97.597856,propagated,low,0,,LZ_NORTH,138.0,,,FLATROCK
AD,30.752638,-95.225219,propagated,low,0,,LZ_HOUSTON,138.0,,,PT
ADAMSV,30.159671,-95.810084,propagated,low,0,,LZ_NORTH,138.0,,,MACEDO
ADERHOLD,26.304224,-98.083955,osm,high,100,Aderhold Substation,LZ_SOUTH,138.0,,513155601,
ADISN,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,
ADK,28.985999,-95.358109,propagated,low,0,,LZ_HOUSTON,345.0,,,DOW
