ercot_substation,load_zone,original_match_source,original_confidence,score,lat,lon,nearest_osm_id,nearest_osm_name,nearest_osm_kv,distance_km,review_reason
BRTSW,LZ_NORTH,mora_eia860,high,100.0,33.052226,-98.328415,171451771,,138.0,1.347,same_lz_nearest_osm_between_1km_and_2km
REROCK,LZ_WEST,mora_eia860,high,100.0,30.960209,-103.306662,500535874,Clovis Substation,138.0,1.599,same_lz_nearest_osm_between_1km_and_2km
TTWEC,LZ_WEST,mora_eia860,high,94.2,32.1981,-100.2686,491192926,Turkey Track Wind Substation,138.0,1.920,same_lz_nearest_osm_between_1km_and_2km
MDANP,LZ_NORTH,mora_eia860,high,93.3,32.4302,-97.0537,1466128997,,138.0,1.314,same_lz_nearest_osm_between_1km_and_2km
BTM,LZ_HOUSTON,mora_eia860,high,92.9,29.364128,-95.435068,339232125,Rosharon Substation,138.0,1.278,same_lz_nearest_osm_between_1km_and_2km
DERMOTT,LZ_WEST,eia860,high,100.0,32.863769,-100.975128,1452973269,,138.0,1.806,same_lz_nearest_osm_between_1km_and_2km
LV3,LZ_SOUTH,mora_eia860,medium,90.1,26.388611,-98.806111,512360983,Rio Grande City Substation,138.0,1.405,same_lz_nearest_osm_between_1km_and_2km
ELLISSLR,LZ_NORTH,mora_eia860,medium,88.8,32.467194,-97.054333,1302777336,,138.0,1.131,same_lz_nearest_osm_between_1km_and_2km
FLTCK,LZ_NORTH,mora_eia860,medium,87.8,32.338659,-98.476051,527832010,Silver Star Wind Substation,138.0,1.288,same_lz_nearest_osm_between_1km_and_2km
ELB,LZ_WEST,mora_eia860,medium,86.3,32.1408,-101.3986,468019561,Ocotillo Wind Substation,138.0,1.084,same_lz_nearest_osm_between_1km_and_2km
TYLRWIND,LZ_NORTH,mora_eia860,medium,86.3,33.703851,-97.372009,1144482433,,138.0,1.751,same_lz_nearest_osm_between_1km_and_2km
OWF,LZ_WEST,mora_eia860,medium,85.1,32.1217,-101.3853,172212626,Elbow Creek Wind Farm,345.0,1.044,same_lz_nearest_osm_between_1km_and_2km
CFLATS,LZ_WEST,mora_eia860,medium,84.9,31.112474,-100.028142,1107612363,,138.0,1.864,same_lz_nearest_osm_between_1km_and_2km
WND,LZ_NORTH,mora_eia860,medium,84.0,31.8694,-97.3667,172714154,Lake Whitney Substation,138.0,1.086,same_lz_nearest_osm_between_1km_and_2km
AJAXWIND,LZ_WEST,mora_eia860,medium,83.7,33.85245,-99.06509,1136041937,Western Trail Wind Farm Substation,345.0,1.239,same_lz_nearest_osm_between_1km_and_2km
CORAZON,LZ_SOUTH,eia860,medium,91.2,27.634677,-99.258329,1350503758,,345.0,1.213,same_lz_nearest_osm_between_1km_and_2km
DMTSW,LZ_WEST,eia860,medium,91.2,32.863769,-100.975128,1452973269,,138.0,1.806,same_lz_nearest_osm_between_1km_and_2km
GREASWOD,LZ_WEST,eia860,medium,91.0,31.030996,-102.488209,1006095181,,345.0,1.604,same_lz_nearest_osm_between_1km_and_2km
LACY_CRK,LZ_WEST,eia860,medium,91.0,31.729906,-101.29894,1191329509,,345.0,1.040,same_lz_nearest_osm_between_1km_and_2km
WHITSBOR,LZ_NORTH,eia860,medium,91.0,33.616526,-96.868721,442929247,,138.0,1.252,same_lz_nearest_osm_between_1km_and_2km
JOHNSON,LZ_NORTH,eia860,medium,87.0,32.3994,-97.4078,455340176,,138.0,1.600,same_lz_nearest_osm_between_1km_and_2km
WHTNY,LZ_NORTH,eia860,medium,86.0,31.8694,-97.3667,172714154,Lake Whitney Substation,138.0,1.086,same_lz_nearest_osm_between_1km_and_2km
PINEFRST,LZ_NORTH,eia860,medium,85.6,31.360942,-94.694517,631186752,Champion Paper Mill Substation,138.0,1.459,same_lz_nearest_osm_between_1km_and_2km
ALAMO_ST,LZ_WEST,eia860,medium,85.5,30.993056,-102.270833,496524847,Pearl Substation,138.0,1.249,same_lz_nearest_osm_between_1km_and_2km
OCOTILLO,LZ_WEST,eia860,medium,85.1,32.1217,-101.3853,172212626,Elbow Creek Wind Farm,345.0,1.044,same_lz_nearest_osm_between_1km_and_2km
CRANE,LZ_WEST,eia860,medium,84.1,31.234,-102.309,499938053,Spudder Flat Substation,138.0,1.459,same_lz_nearest_osm_between_1km_and_2km
TAYGETE,LZ_WEST,eia860,medium,83.1,31.186,-103.128,1087292778,,138.0,1.651,same_lz_nearest_osm_between_1km_and_2km
TURKEY,LZ_WEST,eia860,medium,82.6,32.1981,-100.2686,491192926,Turkey Track Wind Substation,138.0,1.920,same_lz_nearest_osm_between_1km_and_2km
