GEN UID,Bus ID,Unit Group,Unit Type,Fuel,PMin MW,PMax MW,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Fuel Price $/MMBTU,Fixed Cost($/hr),MW Break 1,MWh Price 1
CPSES_UNIT1,1876,Nuclear,N,Nuclear,1142.1,1269.0,168,168,6.345,168,168,168,0.0,0.0,0.0,0.0,0.0,1142.1,8.0
CPSES_UNIT2,1876,Nuclear,N,Nuclear,1142.1,1269.0,168,168,6.345,168,168,168,0.0,0.0,0.0,0.0,0.0,1142.1,8.0
STP_STP_G1,1874,Nuclear,N,Nuclear,1228.5,1365.0,168,168,6.825,168,168,168,0.0,0.0,0.0,0.0,0.0,1228.5,8.0
STP_STP_G2,1874,Nuclear,N,Nuclear,1228.5,1365.0,168,168,6.825,168,168,168,0.0,0.0,0.0,0.0,0.0,1228.5,8.0
COLETO_COLETOG1,1490,Coal,C,Coal,262.0,655.0,8,8,6.55,8,8,8,0.0,0.0,0.0,0.0,0.0,262.0,25.0
FPPYD1_FPP_G1,1828,Coal,C,Coal,246.0,615.0,8,8,6.15,8,8,8,0.0,0.0,0.0,0.0,0.0,246.0,25.0
FPPYD1_FPP_G2,1828,Coal,C,Coal,246.0,615.0,8,8,6.15,8,8,8,0.0,0.0,0.0,0.0,0.0,246.0,25.0
FPPYD2_FPP_G3,1828,Coal,C,Coal,184.0,460.0,8,8,4.6,8,8,8,0.0,0.0,0.0,0.0,0.0,184.0,25.0
CALAVERS_JKS1,1008,Coal,C,Coal,224.0,560.0,8,8,5.6,8,8,8,0.0,0.0,0.0,0.0,0.0,224.0,25.0
CALAVERS_JKS2,1008,Coal,C,Coal,368.8,922.0,8,8,9.22,8,8,8,0.0,0.0,0.0,0.0,0.0,368.8,25.0
LEG_LEG_G1,1794,Coal,C,Coal,357.2,893.0,8,8,8.93,8,8,8,0.0,0.0,0.0,0.0,0.0,357.2,25.0
LEG_LEG_G2,1794,Coal,C,Coal,382.72,956.8,8,8,9.568,8,8,8,0.0,0.0,0.0,0.0,0.0,382.72,25.0
MLSES_UNIT1,1560,Coal,C,Coal,357.2,893.0,8,8,8.93,8,8,8,0.0,0.0,0.0,0.0,0.0,357.2,25.0
MLSES_UNIT2,1560,Coal,C,Coal,357.2,893.0,8,8,8.93,8,8,8,0.0,0.0,0.0,0.0,0.0,357.2,25.0
MLSES_UNIT3,1560,Coal,C,Coal,357.2,893.0,8,8,8.93,8,8,8,0.0,0.0,0.0,0.0,0.0,357.2,25.0
OGSES_UNIT1A,1540,Coal,C,Coal,366.72,916.8,8,8,9.168,8,8,8,0.0,0.0,0.0,0.0,0.0,366.72,25.0
OGSES_UNIT2,1540,Coal,C,Coal,366.72,916.8,8,8,9.168,8,8,8,0.0,0.0,0.0,0.0,0.0,366.72,25.0
SANMIGL_G1,1497,Coal,C,Coal,172.0,430.0,8,8,4.3,8,8,8,0.0,0.0,0.0,0.0,0.0,172.0,25.0
SCES_UNIT1,1738,Coal,C,Coal,403.2,1008.0,8,8,10.08,8,8,8,0.0,0.0,0.0,0.0,0.0,403.2,25.0
TNP_ONE_TNP_O_1,1534,Coal,C,Coal,69.84,174.6,8,8,1.746,8,8,8,0.0,0.0,0.0,0.0,0.0,69.84,25.0
TNP_ONE_TNP_O_2,1534,Coal,C,Coal,69.84,174.6,8,8,1.746,8,8,8,0.0,0.0,0.0,0.0,0.0,69.84,25.0
