Bus ID,Bus Name,Sub Name,BaseKV,Bus Type,MW Load,MVAR Load,Area,Sub Area,Zone,lat,lng,osm_id,is_split
0,Johnson_Switching_Station,JOHNSON SWITCHING STATION,345.0,Slack,0.0,0.0,1,1,NORTH,32.39461,-97.48555,1462075736.0,False
1,Ricebird_STEC_Switchyard,RICEBIRD STEC SWITCHYARD,138.0,PQ,0.0,0.0,3,3,SOUTH,29.10827,-96.53158,1458653862.0,False
2,Rio_Lago_Solar,RIO LAGO SOLAR,138.0,PQ,0.0,0.0,3,3,SOUTH,29.75668,-99.09483,1457614270.0,False
3,Soda_Lake_Substation,SODA LAKE SUBSTATION,138.0,PQ,0.0,0.0,4,4,WEST,31.19347,-102.31375,1454962661.0,False
4,Mhos_Substation,MHOS SUBSTATION,345.0,PQ,0.0,0.0,4,4,WEST,32.90681,-101.008,1454572836.0,False
6,Gulf_Star,GULF STAR,345.0,PQ,0.0,0.0,3,3,SOUTH,29.18991,-95.96696,1441540448.0,False
7,Burleson_Substation,BURLESON SUBSTATION,138.0,PQ,0.0,0.0,1,1,NORTH,32.50302,-97.31587,1422848962.0,False
10,Tezel_Substation,TEZEL SUBSTATION,138.0,PQ,0.0,0.0,3,3,SOUTH,29.51861,-98.658,1365590138.0,False
11,Saginaw_Switching_Station,SAGINAW SWITCHING STATION,138.0,PQ,0.0,0.0,1,1,NORTH,32.82183,-97.32468,1354286261.0,False
12,Midland_East_Substation,MIDLAND EAST SUBSTATION,345.0,PQ,0.0,0.0,4,4,WEST,32.02003,-102.05202,1347902253.0,False
13,Southwest_Vernon_Substation,SOUTHWEST VERNON SUBSTATION,138.0,PQ,0.0,0.0,4,4,WEST,34.11726,-99.29535,1347793815.0,False
15,Keller_Magnolia_substation,KELLER MAGNOLIA SUBSTATION,138.0,PQ,0.0,0.0,1,1,NORTH,32.9396,-97.29704,1256790958.0,False
16,Ashton_Woods,ASHTON WOODS,138.0,PQ,0.0,0.0,3,3,SOUTH,30.44337,-97.70491,1229047178.0,False
17,Tesla_Battery_Substation,TESLA BATTERY SUBSTATION,345.0,PQ,0.0,0.0,3,3,SOUTH,30.23147,-97.61587,1217222658.0,False
19,Bernoulli_Substation,BERNOULLI SUBSTATION,345.0,PQ,0.0,0.0,4,4,WEST,31.79932,-101.46658,1191329506.0,False
20,Limestone_Wind_Substation,LIMESTONE WIND SUBSTATION,345.0,PQ,0.0,0.0,1,1,NORTH,31.85347,-96.62211,1188600264.0,False
21,Western_Trail_Wind_Farm_Substation,WESTERN TRAIL WIND FARM SUBSTATION,345.0,PQ,0.0,0.0,4,4,WEST,33.84327,-99.05749,1136041937.0,False
22,Newhart,NEWHART,230.0,PQ,0.0,0.0,4,4,WEST,34.46737,-102.06921,1128108189.0,False
23,Roadrunner,ROADRUNNER,345.0,PQ,0.0,0.0,4,4,WEST,31.20782,-102.18197,1104486306.0,False
