GEN UID,Bus ID,Unit Group,Unit Type,Fuel,PMin MW,PMax MW,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Fuel Price $/MMBTU,Fixed Cost($/hr),MW Break 1,MWh Price 1
COLETO_COLETOG1,2399,Coal,C,Coal,262.0,655.0,8,8,6.55,8,8,8,0.0,0.0,0.0,0.0,0.0,262.0,25.0
FPPYD1_FPP_G1,2743,Coal,C,Coal,246.0,615.0,8,8,6.15,8,8,8,0.0,0.0,0.0,0.0,0.0,246.0,25.0
FPPYD1_FPP_G2,2743,Coal,C,Coal,246.0,615.0,8,8,6.15,8,8,8,0.0,0.0,0.0,0.0,0.0,246.0,25.0
FPPYD2_FPP_G3,2743,Coal,C,Coal,184.0,460.0,8,8,4.6,8,8,8,0.0,0.0,0.0,0.0,0.0,184.0,25.0
CALAVERS_JKS1,649,Coal,C,Coal,224.0,560.0,8,8,5.6,8,8,8,0.0,0.0,0.0,0.0,0.0,224.0,25.0
CALAVERS_JKS2,649,Coal,C,Coal,368.8,922.0,8,8,9.22,8,8,8,0.0,0.0,0.0,0.0,0.0,368.8,25.0
LEG_LEG_G1,2709,Coal,C,Coal,357.2,893.0,8,8,8.93,8,8,8,0.0,0.0,0.0,0.0,0.0,357.2,25.0
LEG_LEG_G2,2709,Coal,C,Coal,382.72,956.8,8,8,9.568,8,8,8,0.0,0.0,0.0,0.0,0.0,382.72,25.0
MLSES_UNIT1,2470,Coal,C,Coal,357.2,893.0,8,8,8.93,8,8,8,0.0,0.0,0.0,0.0,0.0,357.2,25.0
MLSES_UNIT2,2470,Coal,C,Coal,357.2,893.0,8,8,8.93,8,8,8,0.0,0.0,0.0,0.0,0.0,357.2,25.0
MLSES_UNIT3,2470,Coal,C,Coal,357.2,893.0,8,8,8.93,8,8,8,0.0,0.0,0.0,0.0,0.0,357.2,25.0
OGSES_UNIT1A,2449,Coal,C,Coal,366.72,916.8,8,8,9.168,8,8,8,0.0,0.0,0.0,0.0,0.0,366.72,25.0
