osm_id,power_type,voltage_kv,voltage_tier,cables,operator,num_nodes,length_km
101049937,line,400.0,345-499 kV,3,,929,354.18
122782242,line,230.0,230-344 kV,12,,47,17.01
122782247,line,400.0,345-499 kV,3,,521,218.23
122782257,line,230.0,230-344 kV,3,,213,79.7
122782258,line,230.0,230-344 kV,3,,152,56.63
122782274,line,230.0,230-344 kV,3,,198,85.07
122782277,line,230.0,230-344 kV,6,,165,76.34
122782279,line,400.0,345-499 kV,6,,431,205.42
122790278,line,230.0,230-344 kV,6,,64,25.21
122790279,line,230.0,230-344 kV,3,,164,57.15
122790282,line,115.0,115-229 kV,6,,91,27.32
220406889,line,115.0,115-229 kV,3,,519,125.13
243483219,minor_line,0,<69 kV,,,42,19.78
243483221,minor_line,0,<69 kV,,,7,3.26
243483228,minor_line,0,<69 kV,,,16,7.12
299915640,line,230.0,230-344 kV,3,,260,100.86
299915655,line,115.0,115-229 kV,6,,60,23.46
299915658,line,230.0,230-344 kV,3,,183,69.19
299915661,line,230.0,230-344 kV,6,,5,1.33
301856464,minor_line,0,<69 kV,,,3,1.66
301856465,minor_line,0,<69 kV,,,4,0.95
304256985,line,230.0,230-344 kV,3,,177,66.65
338157960,line,230.0,230-344 kV,3,,154,67.45
338157961,line,230.0,230-344 kV,3,,2,0.05
338157962,line,230.0,230-344 kV,3,,2,0.03
338157963,line,230.0,230-344 kV,6,,3,0.39
338159112,line,230.0,230-344 kV,3,,208,73.65
373347666,minor_line,0,<69 kV,,,7,2.75
373824607,line,230.0,230-344 kV,3,,358,159.08
373824608,line,230.0,230-344 kV,3,,402,160.47
374464053,line,230.0,230-344 kV,3,,316,119.48
675124281,line,0,<69 kV,,,3,0.11
675124282,line,0,<69 kV,,,2,0.05
675124283,line,0,<69 kV,,,2,0.04
675124284,line,0,<69 kV,,,2,0.04
675124288,line,0,<69 kV,,,3,0.14
675124289,line,230.0,230-344 kV,3,,6,0.63
675124290,line,230.0,230-344 kV,3,,6,0.7
675124291,line,230.0,230-344 kV,6,,29,9.84
675124292,line,230.0,230-344 kV,6,,31,9.79
675760052,line,230.0,230-344 kV,3,,2,0.08
908225665,line,115.0,115-229 kV,3,,8,0.92
908225666,line,115.0,115-229 kV,3,,7,0.64
908225668,line,115.0,115-229 kV,3,,95,17.21
908225669,line,115.0,115-229 kV,3,,61,13.98
1122867310,line,230.0,230-344 kV,3,,6,0.56
1122867311,line,400.0,345-499 kV,3,,5,0.54
1122867312,line,230.0,230-344 kV,9,,3,0.32
1122867313,line,230.0,230-344 kV,3,,2,0.1
1122867314,line,230.0,230-344 kV,3,,3,0.23
1122867315,line,230.0,230-344 kV,3,,62,23.14
1122867316,line,230.0,230-344 kV,3,,142,47.56
1123959790,line,115.0,115-229 kV,3,,2,0.03
1123959792,line,115.0,115-229 kV,3,,188,41.46
1123959793,line,115.0,115-229 kV,3,,363,81.0
1123959795,line,115.0,115-229 kV,6,,5,0.18
1123959800,line,115.0,115-229 kV,3,,214,40.47
1125880206,line,115.0,115-229 kV,3,,16,1.99
1125880207,line,115.0,115-229 kV,3,,4,0.18
1125880208,line,115.0,115-229 kV,3,,159,30.29
1125880209,line,115.0,115-229 kV,3,,2,0.09
1125880210,line,115.0,115-229 kV,3,,2,0.09
1125880215,line,115.0,115-229 kV,3,,12,0.92
1125880216,line,115.0,115-229 kV,3,,240,19.97
1125880217,line,115.0,115-229 kV,3,,16,4.73
1125880218,line,115.0,115-229 kV,6,,4,0.22
1125880219,line,115.0,115-229 kV,3,,25,4.53
1125880220,line,115.0,115-229 kV,6,,3,0.05
1125880221,line,115.0,115-229 kV,3,,45,9.99
1125880223,line,115.0,115-229 kV,3,,20,2.72
1125880224,line,115.0,115-229 kV,3,,3,0.15
1125880225,line,115.0,115-229 kV,3,,16,1.89
1125880226,line,115.0,115-229 kV,3,,64,5.97
1125881261,line,115.0,115-229 kV,3,,8,0.4
1126035427,line,115.0,115-229 kV,3,,406,66.02
1126035428,line,115.0,115-229 kV,6,,12,2.76
1126035429,line,115.0,115-229 kV,3,,143,25.77
1126035431,line,115.0,115-229 kV,3,,2,0.05
1126035435,line,115.0,115-229 kV,3,,234,45.06
1126035437,line,115.0,115-229 kV,3,,260,98.21
1126035438,line,115.0,115-229 kV,3,,33,9.88
1126035439,line,115.0,115-229 kV,3,,34,7.09
1126035440,line,115.0,115-229 kV,3,,36,7.4
1126035442,line,115.0,115-229 kV,6,,15,1.23
1126035443,line,115.0,115-229 kV,3,,120,26.19
