osm_id,osm_type,name,fuel,mw,operator,lat,lon
101027469,way,Central termoeléctrica Carbón II,coal,1400.0,Comisión Federal de Electricidad,28.467692,-100.698919
101027472,way,Central Termoeléctrica José López Portillo,coal,1285.0,Comisión Federal de Electricidad,28.487381,-100.689657
122790281,way,Central Termoeléctrica Francisco Villa,oil,300.0,CFE,28.166525,-105.443013
372866623,way,Central de ciclo combinado Chihuahua II,gas,619.0,Comision Federal de Electricidad,28.447188,-105.922083
427460107,way,Eagle Pass Power Plant,hydro,9.6,Maverick Cty Water Control & Improvement,28.829425,-100.552426
460356978,way,Amistad Power Plant,hydro,66.0,International Boundary and Water Commission,29.449266,-101.055836
500535879,way,Barilla Solar,solar,30.2,First Solar,30.960412,-103.354626
503264100,way,SolaireHolman 1,solar,50.0,Solairedirect,30.460718,-103.479902
503420911,way,Acacia Solar,solar,10.0,,29.591392,-104.330148
579695442,way,Buckthorn Solar,solar,154.0,NRG Energy,31.077149,-102.836427
904731618,way,Planta de Biogás a Energía,biogas,,,25.852065,-100.295891
908423767,way,Centrales de ciclo combinado Escobedo y El Carmen,gas,1744.0,Iberdrola,25.868557,-100.362498
942762613,way,Monclova Power Station,gas,135.0,AHMSA,26.875207,-101.423983
969922448,way,Central de ciclo combinado Norte II,gas,433.0,,28.441631,-105.91816
1020033363,way,Central Turbogas Monclova,oil,48.0,Comision Federal de Electricidad,26.871738,-101.425818
1020369660,way,Central Hidroeléctrica de la Amistad,hydro,66.0,,29.449023,-101.060256
1081190185,way,Parque Fotovoltáico Los Santos,solar,13.6,,30.18916,-106.447341
1081190186,way,Parque Fotovoltáico Villa Ahumada,solar,150.0,BNB Renewables,30.165469,-106.460046
1081190187,way,Fotovoltaico Las Ahumadas,solar,120.0,,30.194847,-106.484156
1081587145,way,Camargo solar farm,solar,36.0,Balam Fund,27.651726,-105.075102
1081616610,way,Delicias Solar PV Plant,solar,35.0,SDC Energreen-Aljaval,28.175682,-105.413851
1081617107,way,Avant Energías Renovables Solar Farm,solar,36.0,Balam Fund,27.644698,-105.147104
1125821664,way,Emerging Energy,gas,111.0,,28.641862,-105.949185
1126035430,way,,solar,,,27.32177,-104.839091
1126358413,way,Trece Solar,solar,30.0,,28.633486,-104.457512
1189496404,way,,,,,29.188574,-102.932097
1383636019,way,,solar,,,28.451295,-101.909274
1450409649,way,Pueblo BA,battery,19.8,Engie North America,28.681295,-100.461175
1450410742,way,Triple Butte I,battery,7.5,Triple Butte,30.760142,-103.068457
1450413823,way,Hydra,battery,200.0,Engie North America,30.973945,-102.284903
1450414045,way,Pavo,battery,175.0,Engie North America,30.883964,-102.422351
1450414528,way,Antlia,battery,70.0,Engie North America,29.780792,-100.814296
1453231118,way,St Gall Energy Storage I,battery,100.0,St Gall Energy Storage I,30.924635,-102.95344
1453242730,way,Gomez,battery,9.9,"HEN Infrastructure, L.L.C.",31.036129,-103.02487
1453245747,way,Toyah Power Station,battery,9.9,"HEN Infrastructure, L.L.C.",31.111976,-103.666424
1453779333,way,Hoef's Road Storage,battery,2.0,"Anatolian Energy, LLC",31.032178,-103.459107
1454374277,way,House Mountain,battery,63.0,House Mountain,30.496124,-103.450994
1454978102,way,Hamilton BESS,battery,9.9,"HEN Infrastructure, L.L.C.",29.376721,-100.848552
1458592422,way,St Gall Energy Storage II,battery,100.0,St Gall Energy Storage II,30.924137,-102.953287
1461912042,way,,solar,,,25.96554,-103.380079
1465321180,way,Greasewood II Solar Farm,solar,306.0,Greasewood II LLC,31.031931,-102.49232
1466918539,way,Zier Solar,solar;battery,200.4,Cypress Creek Renewables,29.302459,-100.522387
1467183623,way,Fort Duncan BESS,battery,102.6,"Fort Duncan BESS, LLC",28.699585,-100.399993
1475136366,way,Dogfish BESS,battery,75.0,"Dogfish ESS Assets, LLC",30.916649,-102.854585
4871408,relation,Alamo 4,solar,40.0,Consolidated Edison,29.318615,-100.387096
4920626,relation,Anacacho Wind Farm,wind,99.8,E.ON,29.204584,-100.171252
7244620,relation,Langford Wind Farm,wind,150.0,NRG Energy,31.1185,-100.630851
7290991,relation,Desert Sky Wind Farm,wind,167.7,American Electric Power,30.916004,-102.109749
7290992,relation,Indian Mesa Wind Energy Center,wind,82.5,NextEra Energy,30.93161,-102.201743
