osm_id,osm_type,name,voltage_kv,operator,substation_type,lat,lon
6511901206,node,,,CFE,,25.998947,-100.295847
20823200,way,Friend Ranch Substation,138.0,American Electric Power,transmission,30.707914,-101.143158
20826073,way,Fort Lancaster,138.0,American Electric Power,transmission,30.663481,-101.778889
20841019,way,Rosita Creek Substation,138.0,Rio Grande Electric Cooperative,distribution,28.699183,-100.405328
21107682,way,Eagle Hydro Substation,138.0,American Electric Power,generation,28.829744,-100.552071
21108292,way,Eagle Pass Substation,138.0,American Electric Power,distribution,28.715915,-100.490615
21112570,way,Conoco-Chittam Ranch Substation,138.0,American Electric Power,distribution,28.696407,-100.197248
21114385,way,Escondido Substation,138.0,American Electric Power,distribution,28.72856,-100.474555
21121944,way,Maverick Substation,138.0,American Electric Power,distribution,28.86668,-100.550591
21263588,way,Parker Ranch Substation,69.0,American Electric Power,distribution,30.553385,-101.535574
101027471,way,Carbón II,400.0,Comisión Federal de Electricidad,transmission,28.465497,-100.700565
101027476,way,Río Escondido,400.0,Comisión Federal de Electricidad,transmission,28.483846,-100.693005
101038293,way,,230.0,Comisión Federal de Electricidad,transmission,28.481507,-100.698619
101069232,way,,138.0,,transmission,29.448918,-101.061893
102783493,way,Piedras Negras Potencia,230.0,,transmission,28.673392,-100.6141
102783495,way,Subestación Nava,230.0,Comisión Federal de Electricidad,transmission,28.418919,-100.810808
122782244,way,Ávalos,230.0,,transmission,28.613003,-105.996482
122782268,way,División del Norte,230.0,,transmission,28.586006,-106.164103
122782271,way,Chuviscar,230.0,,transmission,28.640275,-105.950766
122782273,way,Chihuahua Norte,230.0,,transmission,28.729499,-106.133658
124652372,way,Nuevo Escobedo,115.0,,transmission,25.84766,-100.370054
124652375,way,Subestación Escobedo,400.0,,transmission,25.865724,-100.366768
145084910,way,,115.0,,transmission,28.699409,-106.098931
145562465,way,,115.0,,transmission,28.637171,-106.089256
193054712,way,Monclova,230.0,CFE,transmission,26.872966,-101.425386
193411905,way,Subestación Hércules potencia,400.0,Comisión Federal de Electricidad,transmission,28.047815,-103.831488
234924198,way,,,,,30.604575,-106.5217
236463884,way,,,,,30.612509,-106.514205
295165327,way,Rocksprings Substation,69.0,Pedernales Electric Cooperative,distribution,30.02284,-100.199206
295165331,way,Rocksprings Substation,69.0,American Electric Power,transmission,30.021246,-100.201879
299915648,way,Subestación Mesteñas,230.0,Comisión Federal de Electricidad,transmission,28.43036,-104.495
299915649,way,,115.0,,transmission,28.691193,-104.464183
302956168,way,,115.0,CFE,transmission,28.618976,-106.110614
302978813,way,,115.0,,transmission,27.141335,-104.910047
328823535,way,Las glorias,400.0,Comisión Federal de Electricidad,transmission,25.848475,-100.144895
329140644,way,Lampazos,400.0,,transmission,27.095802,-100.454971
330264351,way,Robinson,115.0,,distribution,28.654112,-106.052038
333694469,way,,115.0,,distribution,27.936207,-101.570154
335761046,way,Subestación Frontera,400.0,Comisión Federal de Electricidad,transmission,26.926091,-101.504172
336123159,way,Nueva Rosita,230.0,,transmission,27.922375,-101.196606
338157964,way,Subestación Camargo 2,230.0,Comisión Federal de Electricidad,transmission,27.657487,-105.063514
339705805,way,Big Hill Substation,345.0,Lower Colorado River Authority,transmission,31.047224,-100.542055
339705806,way,Orsted Substation,345.0,American Electric Power,compensation,30.696378,-100.195096
340748099,way,,115.0,,transmission,28.973625,-104.49284
