GEOID,population,lat,lng
48001950100,4641,31.9714795,-95.5524385
48001950401,5782,31.7346372,-95.8157096
48001950402,7115,31.8000515,-95.9131097
48001950500,4479,31.787885,-95.6405375
48001950600,6036,31.7502049,-95.6692086
48001950700,2564,31.7535129,-95.634667
48001950800,5427,31.7374136,-95.6122762
48001950901,5281,31.7062457,-95.735873
48001950902,5090,31.7877072,-95.504722
48001951001,3618,31.6453829,-95.4269988
48001951002,3501,31.6003928,-95.6403065
48001951100,4388,31.92191,-95.8429741
48003950100,2405,32.3588238,-102.7169364
48003950200,7710,32.3283275,-102.5538708
48003950300,4668,32.3148521,-102.5485167
48003950400,3827,32.176548,-102.4688186
48005000102,4983,31.3105941,-94.8729465
48005000103,3440,31.4580017,-94.8088804
48005000104,2974,31.4160643,-94.8716428
48005000201,3138,31.2957326,-94.6673417
48005000202,3558,31.4013717,-94.6726247
48005000301,5413,31.371135,-94.7743134
48005000302,5319,31.2784246,-94.7824619
48005000400,5361,31.3415939,-94.7543239
48005000500,3640,31.3709548,-94.737445
48005000600,5836,31.3481548,-94.6971146
48005000700,3070,31.3365075,-94.7258122
48005000800,6165,31.311731,-94.702881
48005000902,3731,31.2823915,-94.7246988
48005000903,3245,31.3059975,-94.7624076
48005000904,3269,31.3176262,-94.7398433
48005001001,5043,31.2065934,-94.8086815
48005001002,4035,31.1575172,-94.7131495
48005001101,3396,31.2585103,-94.6266344
48005001102,3056,31.3700554,-94.5637322
48005001200,2594,31.1390364,-94.3552215
48005001300,5129,31.1906284,-94.5125108
48007950101,1300,28.1408718,-96.9392784
48007950102,3424,28.0974805,-97.0412718
48007950103,1257,28.0669162,-97.1108812
48007950200,1000,28.0347866,-97.0275951
48007950301,3734,28.0368101,-97.067901
48007950302,2768,28.0556461,-97.0591491
48007950400,3349,28.0171583,-97.0709124
48007950501,2614,28.0343118,-97.1810553
48007950502,1761,27.939028,-97.1358193
48007950503,2623,27.991095,-97.0956423
48007990000,0,27.9305294,-96.9381146
48009020100,2897,33.7834399,-98.52597
48009020200,2442,33.6468145,-98.7818486
48009020300,3221,33.5235591,-98.5875742
48011950100,1848,34.964179,-101.3566363
48013960101,3474,29.0640679,-98.4214542
48013960102,3771,28.8364736,-98.3126746
48013960203,2906,29.2124873,-98.7876465
48013960204,4153,29.1170533,-98.7535773
48013960205,6022,29.0722559,-98.6754337
48013960206,5493,29.108533,-98.5814799
48013960300,3135,29.0364295,-98.5840518
48013960401,2391,29.1036787,-98.5149477
48013960403,4747,28.9484582,-98.496838
48013960404,4063,28.9799665,-98.5229625
48013960500,2533,28.8323569,-98.7197766
48013960601,2512,28.9697355,-98.5952593
48013960602,3781,28.7572063,-98.4890398
48015760100,2464,29.6617125,-96.1047804
48015760201,2078,29.823345,-96.1275409
48015760202,4450,29.7486954,-96.0961661
48015760301,2773,29.8551928,-96.2343237
48015760302,5043,29.7653317,-96.2473336
48015760400,3505,29.9608477,-96.4470209
48015760501,4543,30.0300092,-96.2714828
48015760502,5311,29.9392913,-96.1788738
48017950101,4002,34.2207336,-102.7793226
48017950102,2902,34.0675209,-102.8303446
48019000101,4705,29.6779077,-99.1456783
48019000103,3913,29.7728169,-99.1030498
48019000104,1259,29.761212,-98.9319693
48019000200,2394,29.7598376,-99.3924167
48019000301,3304,29.6507409,-99.0013739
48019000302,3067,29.6563843,-98.8874609
48019000400,2209,29.5774809,-98.9611742
48021950101,5554,30.2381713,-97.4045654
48021950102,6373,30.3251293,-97.2679454
48021950201,3299,30.3527045,-97.3586342
48021950202,5631,30.3553589,-97.3937058
48021950301,5236,30.1352311,-97.3917681
48021950302,4729,30.0349125,-97.3634216
48021950303,7638,30.0994351,-97.4743167
48021950401,5226,30.1291497,-97.3102032
48021950402,2390,30.0845361,-97.2867273
48021950403,3159,30.0913504,-97.3219866
48021950503,4028,30.1348699,-97.1703739
48021950504,3923,30.2180767,-97.1815879
48021950505,5052,30.2377866,-97.2622475
48021950506,5340,30.1855475,-97.3339723
48021950601,4017,29.9254436,-97.2746523
48021950602,2323,30.0509493,-97.120189
48021950700,4554,30.0184088,-97.1710869
48021950803,3452,30.1203098,-97.5616694
48021950804,5269,30.0433379,-97.5120388
48021950805,6745,30.0410941,-97.5890646
48021950806,3278,29.9562896,-97.4504314
