id,name,zone,base_kv,lat,lng,mw_load,gen_mw,gen_fuels
0,Johnson_Switching_Station,NORTH,345.0,32.39461,-97.48555,0.0,0.0,
2,Rio_Lago_Solar,SOUTH,138.0,29.75668,-99.09483,0.0,0.0,
3,Soda_Lake_Substation,WEST,138.0,31.19347,-102.31375,0.0,0.0,
4,Mhos_Substation,WEST,345.0,32.90681,-101.008,0.0,0.0,
5,Gulf_Star,SOUTH,345.0,29.18991,-95.96696,0.0,0.0,
6,Burleson_Substation,NORTH,138.0,32.50302,-97.31587,0.0,0.0,
8,Tezel_Substation,SOUTH,138.0,29.51861,-98.658,0.0,0.0,
9,Saginaw_Switching_Station,NORTH,138.0,32.82183,-97.32468,0.0,0.0,
10,Midland_East_Substation,WEST,345.0,32.02003,-102.05202,0.0,0.0,
11,Southwest_Vernon_Substation,WEST,138.0,34.11726,-99.29535,0.0,403.7,Gas;Wind
14,Bernoulli_Substation,WEST,345.0,31.79932,-101.46658,0.0,0.0,
15,Limestone_Wind_Substation,NORTH,345.0,31.85347,-96.62211,0.0,299.2,Wind
16,Western_Trail_Wind_Farm_Substation,WEST,345.0,33.84327,-99.05749,0.0,366.6,Wind
17,Newhart,WEST,230.0,34.46737,-102.06921,0.0,0.0,
19,Hubbard_1_Wind_Farm_Substation,NORTH,345.0,31.75125,-96.88933,0.0,0.0,
20,Steel_Dynamics_Substation,SOUTH,345.0,28.05705,-97.44614,0.0,0.0,
21,GCVC_Substation,SOUTH,138.0,27.93223,-97.32054,0.0,162.8,Wind
22,Reloj_del_Sol_Wind_Farm_Substation,SOUTH,345.0,27.1104,-99.33898,0.0,0.0,
23,Rainey_Street_Substation,SOUTH,138.0,30.25678,-97.73789,0.0,0.0,
24,Southton_Substation,SOUTH,138.0,29.31324,-98.40926,0.0,0.0,
25,Pinto_Creek_Substation,SOUTH,138.0,29.35065,-100.56183,0.0,161.3,Solar
26,Torrecillas_Substation,SOUTH,345.0,27.61896,-98.83998,0.0,300.0,Wind
27,Eagle_Claw_Midstream_Substation,WEST,138.0,31.3328,-103.50382,0.0,0.0,
28,Pecos_Substation,WEST,138.0,31.42735,-103.49939,0.0,0.0,
29,Lotebush_Substation,WEST,138.0,31.29177,-103.11726,0.0,0.0,
30,Trans_Pecos_Substation,WEST,138.0,31.27538,-103.11789,0.0,0.0,
31,Wolf_Switching_Station,WEST,345.0,31.60194,-102.9336,0.0,0.0,
32,Quarry_Field_Switching_Station,WEST,345.0,31.78326,-103.63812,0.0,0.0,
34,Lindley_Ranch_Substation,WEST,138.0,31.79555,-103.73119,0.0,0.0,
36,Pecone_Substation,WEST,138.0,31.50972,-103.51744,0.0,0.0,
37,Mentone_Substation,WEST,138.0,31.64451,-103.66514,0.0,0.0,
38,3_Mile_Draw_Substation,WEST,138.0,31.81435,-103.98314,0.0,0.0,
39,Owl_Hills_Substation,WEST,138.0,31.98282,-104.06337,0.0,0.0,
41,Riverton_Switching_Station,WEST,345.0,31.80671,-103.86121,0.0,0.0,
42,Kyle_Ranch_Substation,WEST,138.0,31.93065,-103.65181,0.0,0.0,
44,Sand_Lake_Switching_Station,WEST,345.0,31.51033,-103.46487,0.0,0.0,
45,Cryo_Substation,WEST,138.0,31.04672,-103.72086,0.0,0.0,
46,Coral_Substation,WEST,138.0,31.03758,-103.72261,0.0,0.0,
47,Lynx_Substation,WEST,138.0,31.07176,-102.39358,0.0,0.0,
48,Soaptree_Switching_Station,WEST,138.0,31.08298,-102.39373,0.0,0.0,
50,Wolf_Hollow_Substation,NORTH,345.0,32.33789,-97.7334,0.0,829.0,Gas
51,Esperanza_Substation,SOUTH,138.0,29.8005,-98.66501,0.0,0.0,
53,Yucca_Drive_Switching_Station,WEST,138.0,31.58797,-102.95529,0.0,0.0,
54,Executive_Parkway_Substation,NORTH,138.0,32.75166,-97.07414,0.0,0.0,
55,Bergheim_Substation,SOUTH,345.0,29.79013,-98.52769,0.0,0.0,
57,Martinez_Substation,SOUTH,138.0,29.45061,-98.32232,0.0,0.0,
58,Bordas_II_Substation,SOUTH,345.0,27.43943,-98.90668,0.0,0.0,
59,Kings_Row_Substation,NORTH,138.0,33.25006,-97.09884,0.0,0.0,
60,Rafter_Substation,SOUTH,138.0,29.41708,-98.80624,0.0,0.0,
61,Denison_Dam_Substation,NORTH,138.0,33.81677,-96.56865,0.0,101.6,Gas
62,Corn_Trail_Switching_Station,NORTH,345.0,31.81883,-98.66382,0.0,0.0,
63,Tater_Hill_Substation,NORTH,345.0,31.68432,-98.60377,0.0,200.0,Wind
64,Nacogdoches_Southwest_Substation,NORTH,138.0,31.56758,-94.67882,0.0,0.0,
65,Nacogdoches_Substation,NORTH,138.0,31.60853,-94.6764,0.0,0.0,
66,Nacogdoches_South_Substation,NORTH,138.0,31.57891,-94.63905,0.0,0.0,
67,Chireno_Substation,NORTH,138.0,31.51964,-94.35217,0.0,0.0,
68,Claytonville_Substation,WEST,345.0,32.62797,-100.54544,0.0,0.0,
69,Wetsel_Substation,WEST,138.0,32.62946,-100.54701,0.0,0.0,
